$Temperature file for Wangjiaba upstream inflow,,
,,
JDAY,T,
1.000,2.009,
2.000,1.349,
3.000,2.774,
4.000,4.537,
5.000,3.523,
6.000,3.327,
7.000,4.571,
8.000,5.853,
9.000,5.062,
10.000,4.136,
11.000,6.100,
12.000,6.903,
13.000,8.062,
14.000,8.454,
15.000,2.218,
16.000,1.945,
17.000,5.197,
18.000,6.604,
19.000,5.245,
20.000,2.628,
21.000,2.657,
22.000,4.079,
23.000,2.840,
24.000,1.764,
25.000,0.937,
26.000,0.500,
27.000,0.500,
28.000,2.794,
29.000,3.335,
30.000,2.990,
31.000,3.857,
32.000,5.290,
33.000,4.970,
34.000,4.084,
35.000,4.955,
36.000,4.548,
37.000,5.390,
38.000,8.392,
39.000,9.338,
40.000,6.554,
41.000,8.000,
42.000,9.735,
43.000,9.751,
44.000,10.935,
45.000,11.169,
46.000,8.051,
47.000,2.989,
48.000,4.942,
49.000,6.440,
50.000,5.782,
51.000,6.059,
52.000,7.976,
53.000,9.614,
54.000,5.522,
55.000,4.702,
56.000,3.563,
57.000,3.068,
58.000,2.661,
59.000,5.072,
60.000,4.647,
61.000,5.826,
62.000,7.068,
63.000,9.925,
64.000,11.393,
65.000,10.238,
66.000,12.795,
67.000,7.773,
68.000,9.476,
69.000,10.151,
70.000,10.966,
71.000,11.379,
72.000,14.094,
73.000,12.773,
74.000,12.284,
75.000,13.423,
76.000,14.575,
77.000,12.459,
78.000,13.645,
79.000,13.195,
80.000,15.316,
81.000,16.459,
82.000,13.041,
83.000,11.150,
84.000,11.779,
85.000,12.910,
86.000,11.623,
87.000,12.416,
88.000,10.395,
89.000,9.742,
90.000,11.584,
91.000,11.016,
92.000,10.055,
93.000,8.780,
94.000,10.038,
95.000,12.457,
96.000,14.127,
97.000,12.307,
98.000,11.910,
99.000,13.430,
100.000,15.049,
101.000,16.031,
102.000,15.448,
103.000,14.460,
104.000,15.904,
105.000,16.179,
106.000,18.176,
107.000,12.208,
108.000,13.225,
109.000,14.548,
110.000,14.579,
111.000,16.553,
112.000,18.761,
113.000,19.127,
114.000,12.907,
115.000,16.072,
116.000,17.111,
117.000,18.232,
118.000,18.695,
119.000,17.077,
120.000,19.459,
121.000,21.179,
122.000,14.626,
123.000,15.513,
124.000,17.361,
125.000,18.668,
126.000,21.152,
127.000,23.092,
128.000,23.743,
129.000,21.774,
130.000,20.308,
131.000,16.004,
132.000,17.560,
133.000,19.060,
134.000,15.745,
135.000,17.992,
136.000,18.226,
137.000,20.522,
138.000,16.957,
139.000,18.552,
140.000,18.409,
141.000,18.923,
142.000,18.954,
143.000,19.835,
144.000,21.768,
145.000,22.141,
146.000,20.788,
147.000,22.406,
148.000,22.388,
149.000,16.429,
150.000,19.147,
151.000,19.914,
152.000,19.383,
153.000,17.577,
154.000,19.013,
155.000,20.819,
156.000,21.206,
157.000,23.214,
158.000,23.953,
159.000,23.244,
160.000,19.460,
161.000,18.728,
162.000,17.988,
163.000,20.072,
164.000,21.304,
165.000,22.347,
166.000,23.669,
167.000,25.639,
168.000,25.724,
169.000,26.620,
170.000,27.329,
171.000,27.551,
172.000,23.563,
173.000,24.609,
174.000,20.998,
175.000,20.425,
176.000,19.605,
177.000,24.235,
178.000,21.816,
179.000,21.718,
180.000,22.421,
181.000,22.760,
182.000,23.446,
183.000,23.851,
184.000,26.158,
185.000,25.637,
186.000,26.024,
187.000,26.444,
188.000,27.018,
189.000,26.818,
190.000,23.992,
191.000,21.651,
192.000,22.120,
193.000,23.265,
194.000,25.011,
195.000,25.931,
196.000,25.433,
197.000,23.331,
198.000,25.769,
199.000,26.326,
200.000,25.238,
201.000,24.894,
202.000,24.803,
203.000,24.895,
204.000,24.731,
205.000,22.415,
206.000,22.915,
207.000,23.236,
208.000,24.776,
209.000,25.914,
210.000,25.386,
211.000,25.629,
212.000,24.808,
213.000,24.828,
214.000,25.430,
215.000,26.434,
216.000,23.963,
217.000,21.386,
218.000,25.035,
219.000,25.409,
220.000,24.193,
221.000,23.848,
222.000,20.657,
223.000,20.549,
224.000,22.879,
225.000,22.739,
226.000,22.707,
227.000,24.430,
228.000,25.898,
229.000,24.946,
230.000,24.913,
231.000,25.635,
232.000,22.636,
233.000,22.454,
234.000,20.509,
235.000,22.414,
236.000,20.036,
237.000,20.893,
238.000,21.256,
239.000,21.944,
240.000,22.567,
241.000,23.058,
242.000,22.762,
243.000,23.278,
244.000,21.584,
245.000,20.309,
246.000,20.660,
247.000,20.773,
248.000,21.807,
249.000,21.439,
250.000,20.629,
251.000,19.447,
252.000,17.918,
253.000,18.047,
254.000,16.506,
255.000,17.711,
256.000,17.626,
257.000,18.359,
258.000,19.000,
259.000,18.501,
260.000,19.108,
261.000,19.905,
262.000,21.593,
263.000,21.325,
264.000,20.785,
265.000,20.345,
266.000,18.184,
267.000,19.317,
268.000,19.801,
269.000,20.410,
270.000,19.863,
271.000,14.024,
272.000,12.497,
273.000,13.380,
274.000,14.806,
275.000,15.714,
276.000,14.072,
277.000,15.006,
278.000,14.056,
279.000,13.891,
280.000,14.322,
281.000,10.675,
282.000,11.642,
283.000,14.397,
284.000,13.484,
285.000,14.854,
286.000,15.701,
287.000,14.345,
288.000,14.571,
289.000,15.038,
290.000,15.418,
