$bth1.csv — Wangjiaba run-of-river,
   Seg#,       1,       2,       3,       4,       5,       6,       7,       8,       9,      10,      11,      12,      13,      14,      15,      16,      17,      18,      19,      20,      21,      22,
    DLX,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,
   ELWS,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,  28.000,
   PHI0,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,   0.020,
   FRIC,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,   0.030,
 LAYERH,       1,       2,       3,       4,       5,       6,       7,       8,       9,      10,      11,      12,      13,      14,      15,      16,      17,      18,      19,      20,      21,      22,
   1.000,   0.000,  83.333,  94.120, 104.855, 115.553, 126.223, 136.871, 147.501, 158.118, 168.724, 179.320, 189.909, 200.491, 211.068, 221.639, 232.207, 242.771, 253.332, 263.891, 274.446, 285.000,   0.000,
   1.000,   0.000,  50.000,  61.308,  72.461,  83.502,  94.458, 105.349, 116.188, 126.986, 137.750, 148.487, 159.200, 169.894, 180.571, 191.234, 201.885, 212.524, 223.155, 233.777, 244.392, 255.000,   0.000,
   1.000,   0.000,  16.667,  28.495,  40.067,  51.451,  62.693,  73.827,  84.875,  95.854, 106.777, 117.654, 128.492, 139.297, 150.075, 160.829, 171.562, 182.277, 192.977, 203.663, 214.337, 225.000,   0.000,
   1.000,   0.000,   0.000,   0.000,   7.672,  19.399,  30.929,  42.305,  53.562,  64.722,  75.803,  86.820,  97.783, 108.700, 119.578, 130.423, 141.239, 152.031, 162.800, 173.550, 184.282, 195.000,   0.000,
   1.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  10.784,  22.249,  33.590,  44.830,  55.987,  67.074,  78.103,  89.082, 100.018, 110.917, 121.784, 132.622, 143.436, 154.228, 165.000,   0.000,
   1.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   2.458,  13.857,  25.154,  36.366,  47.506,  58.585,  69.612,  80.594,  91.537, 102.445, 113.322, 124.173, 135.000,   0.000,
   1.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   5.657,  16.909,  28.089,  39.207,  50.272,  61.290,  72.267,  83.209,  94.118, 105.000,   0.000,
   1.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   8.802,  19.949,  31.043,  42.090,  53.095,  64.064,  75.000,   0.000,
   1.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.796,  11.912,  22.981,  34.009,  45.000,   0.000,
   1.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   3.955,  15.000,   0.000,
