date,discharge_m3s
1981-01-01,40.3
1981-01-02,39.8
1981-01-03,40.0
1981-01-04,39.2
1981-01-05,38.5
1981-01-06,38.9
1981-01-07,43.7
1981-01-08,60.8
1981-01-09,74.0
1981-01-10,70.7
1981-01-11,55.9
1981-01-12,45.7
1981-01-13,41.7
1981-01-14,39.8
1981-01-15,40.8
1981-01-16,41.2
1981-01-17,39.8
1981-01-18,50.9
1981-01-19,80.9
1981-01-20,98.9
1981-01-21,110.0
1981-01-22,105.0
1981-01-23,86.1
1981-01-24,70.7
1981-01-25,64.8
1981-01-26,73.4
1981-01-27,74.0
1981-01-28,73.0
1981-01-29,101.0
1981-01-30,113.0
1981-01-31,112.0
1981-02-01,97.0
1981-02-02,74.5
1981-02-03,60.6
1981-02-04,52.7
1981-02-05,48.1
1981-02-06,44.2
1981-02-07,41.7
1981-02-08,39.8
1981-02-09,38.1
1981-02-10,36.5
1981-02-11,35.0
1981-02-12,34.6
1981-02-13,33.8
1981-02-14,33.8
1981-02-15,35.0
1981-02-16,47.6
1981-02-17,97.7
1981-02-18,243.0
1981-02-19,255.0
1981-02-20,223.0
1981-02-21,195.0
1981-02-22,176.0
1981-02-23,153.0
1981-02-24,134.0
1981-02-25,124.0
1981-02-26,113.0
1981-02-27,101.0
1981-02-28,94.6
1981-03-01,88.5
1981-03-02,102.0
1981-03-03,142.0
1981-03-04,150.0
1981-03-05,140.0
1981-03-06,120.0
1981-03-07,92.9
1981-03-08,75.1
1981-03-09,65.3
1981-03-10,59.6
1981-03-11,57.4
1981-03-12,55.4
1981-03-13,53.2
1981-03-14,55.4
1981-03-15,57.4
1981-03-16,56.9
1981-03-17,56.4
1981-03-18,52.2
1981-03-19,50.6
1981-03-20,50.6
1981-03-21,41.3
1981-03-22,38.9
1981-03-23,36.5
1981-03-24,37.3
1981-03-25,36.2
1981-03-26,33.8
1981-03-27,32.2
1981-03-28,30.4
1981-03-29,34.2
1981-03-30,40.8
1981-03-31,48.1
1981-04-01,51.7
1981-04-02,56.6
1981-04-03,99.0
1981-04-04,147.0
1981-04-05,165.0
1981-04-06,209.0
1981-04-07,200.0
1981-04-08,175.0
1981-04-09,151.0
1981-04-10,127.0
1981-04-11,106.0
1981-04-12,96.5
1981-04-13,90.3
1981-04-14,86.1
1981-04-15,79.1
1981-04-16,75.7
1981-04-17,84.8
1981-04-18,123.0
1981-04-19,228.0
1981-04-20,350.0
1981-04-21,404.0
1981-04-22,369.0
1981-04-23,285.0
1981-04-24,216.0
1981-04-25,172.0
1981-04-26,136.0
1981-04-27,111.0
1981-04-28,97.8
1981-04-29,86.1
1981-04-30,80.2
1981-05-01,80.8
1981-05-02,79.1
1981-05-03,71.2
1981-05-04,61.7
1981-05-05,51.7
1981-05-06,41.3
1981-05-07,48.2
1981-05-08,59.6
1981-05-09,59.6
1981-05-10,50.4
1981-05-11,34.6
1981-05-12,27.9
1981-05-13,26.1
1981-05-14,24.9
1981-05-15,40.0
1981-05-16,88.9
1981-05-17,105.0
1981-05-18,95.1
1981-05-19,64.7
1981-05-20,35.7
1981-05-21,21.7
1981-05-22,16.8
1981-05-23,14.4
1981-05-24,12.8
1981-05-25,10.3
1981-05-26,14.4
1981-05-27,19.6
1981-05-28,18.0
1981-05-29,14.4
1981-05-30,12.9
1981-05-31,17.7
1981-06-01,20.4
1981-06-02,19.6
1981-06-03,21.4
1981-06-04,19.0
1981-06-05,15.0
1981-06-06,12.3
1981-06-07,10.2
1981-06-08,8.78
1981-06-09,8.45
1981-06-10,13.0
1981-06-11,25.9
1981-06-12,65.1
1981-06-13,72.8
1981-06-14,61.1
1981-06-15,44.3
1981-06-16,28.6
1981-06-17,35.5
1981-06-18,64.9
1981-06-19,49.8
1981-06-20,34.7
1981-06-21,27.6
1981-06-22,24.4
1981-06-23,26.0
1981-06-24,32.0
1981-06-25,35.6
1981-06-26,123.0
1981-06-27,258.0
1981-06-28,302.0
1981-06-29,304.0
1981-06-30,275.0
1981-07-01,238.0
1981-07-02,188.0
1981-07-03,148.0
1981-07-04,121.0
1981-07-05,101.0
1981-07-06,87.3
1981-07-07,76.9
1981-07-08,58.0
1981-07-09,39.8
1981-07-10,50.0
1981-07-11,169.0
1981-07-12,627.0
1981-07-13,680.0
1981-07-14,533.0
1981-07-15,406.0
1981-07-16,295.0
1981-07-17,229.0
1981-07-18,225.0
1981-07-19,261.0
1981-07-20,231.0
1981-07-21,187.0
1981-07-22,145.0
1981-07-23,115.0
1981-07-24,98.2
1981-07-25,94.3
1981-07-26,115.0
1981-07-27,142.0
1981-07-28,166.0
1981-07-29,157.0
1981-07-30,132.0
1981-07-31,115.0
1981-08-01,103.0
1981-08-02,95.5
1981-08-03,82.0
1981-08-04,73.4
1981-08-05,73.7
1981-08-06,77.0
1981-08-07,71.7
1981-08-08,75.1
1981-08-09,78.5
1981-08-10,88.0
1981-08-11,142.0
1981-08-12,198.0
1981-08-13,253.0
1981-08-14,285.0
1981-08-15,270.0
1981-08-16,241.0
1981-08-17,200.0
1981-08-18,164.0
1981-08-19,141.0
1981-08-20,127.0
1981-08-21,111.0
1981-08-22,104.0
1981-08-23,117.0
1981-08-24,311.0
1981-08-25,789.0
1981-08-26,1100.0
1981-08-27,986.0
1981-08-28,734.0
1981-08-29,503.0
1981-08-30,378.0
1981-08-31,288.0
1981-09-01,234.0
1981-09-02,194.0
1981-09-03,169.0
1981-09-04,148.0
1981-09-05,129.0
1981-09-06,112.0
1981-09-07,97.9
1981-09-08,98.2
1981-09-09,106.0
1981-09-10,88.9
1981-09-11,76.8
1981-09-12,74.0
1981-09-13,75.1
1981-09-14,89.3
1981-09-15,112.0
1981-09-16,111.0
1981-09-17,102.0
1981-09-18,97.6
1981-09-19,94.6
1981-09-20,92.2
1981-09-21,85.0
1981-09-22,86.8
1981-09-23,104.0
1981-09-24,104.0
1981-09-25,94.0
1981-09-26,87.4
1981-09-27,86.2
1981-09-28,85.9
1981-09-29,65.4
1981-09-30,51.4
1981-10-01,49.6
1981-10-02,69.1
1981-10-03,113.0
1981-10-04,159.0
1981-10-05,264.0
1981-10-06,388.0
1981-10-07,693.0
1981-10-08,1110.0
1981-10-09,1230.0
1981-10-10,1100.0
1981-10-11,805.0
1981-10-12,581.0
1981-10-13,455.0
1981-10-14,372.0
