$Outflow file for Wangjiaba,,
,,
JDAY,QWD,
1.000,40.300,
2.000,39.800,
3.000,40.000,
4.000,39.200,
5.000,38.500,
6.000,38.900,
7.000,43.700,
8.000,60.800,
9.000,74.000,
10.000,70.700,
11.000,55.900,
12.000,45.700,
13.000,41.700,
14.000,39.800,
15.000,40.800,
16.000,41.200,
17.000,39.800,
18.000,50.900,
19.000,80.900,
20.000,98.900,
21.000,110.000,
22.000,105.000,
23.000,86.100,
24.000,70.700,
25.000,64.800,
26.000,73.400,
27.000,74.000,
28.000,73.000,
29.000,101.000,
30.000,113.000,
31.000,112.000,
32.000,97.000,
33.000,74.500,
34.000,60.600,
35.000,52.700,
36.000,48.100,
37.000,44.200,
38.000,41.700,
39.000,39.800,
40.000,38.100,
41.000,36.500,
42.000,35.000,
43.000,34.600,
44.000,33.800,
45.000,33.800,
46.000,35.000,
47.000,47.600,
48.000,97.700,
49.000,243.000,
50.000,255.000,
51.000,223.000,
52.000,195.000,
53.000,176.000,
54.000,153.000,
55.000,134.000,
56.000,124.000,
57.000,113.000,
58.000,101.000,
59.000,94.600,
60.000,88.500,
61.000,102.000,
62.000,142.000,
63.000,150.000,
64.000,140.000,
65.000,120.000,
66.000,92.900,
67.000,75.100,
68.000,65.300,
69.000,59.600,
70.000,57.400,
71.000,55.400,
72.000,53.200,
73.000,55.400,
74.000,57.400,
75.000,56.900,
76.000,56.400,
77.000,52.200,
78.000,50.600,
79.000,50.600,
80.000,41.300,
81.000,38.900,
82.000,36.500,
83.000,37.300,
84.000,36.200,
85.000,33.800,
86.000,32.200,
87.000,30.400,
88.000,34.200,
89.000,40.800,
90.000,48.100,
91.000,51.700,
92.000,56.600,
93.000,99.000,
94.000,147.000,
95.000,165.000,
96.000,209.000,
97.000,200.000,
98.000,175.000,
99.000,151.000,
100.000,127.000,
101.000,106.000,
102.000,96.500,
103.000,90.300,
104.000,86.100,
105.000,79.100,
106.000,75.700,
107.000,84.800,
108.000,123.000,
109.000,228.000,
110.000,350.000,
111.000,404.000,
112.000,369.000,
113.000,285.000,
114.000,216.000,
115.000,172.000,
116.000,136.000,
117.000,111.000,
118.000,97.800,
119.000,86.100,
120.000,80.200,
121.000,80.800,
122.000,79.100,
123.000,71.200,
124.000,61.700,
125.000,51.700,
126.000,41.300,
127.000,48.200,
128.000,59.600,
129.000,59.600,
130.000,50.400,
131.000,34.600,
132.000,27.900,
133.000,26.100,
134.000,24.900,
135.000,40.000,
136.000,88.900,
137.000,105.000,
138.000,95.100,
139.000,64.700,
140.000,35.700,
141.000,21.700,
142.000,16.800,
143.000,14.400,
144.000,12.800,
145.000,10.300,
146.000,14.400,
147.000,19.600,
148.000,18.000,
149.000,14.400,
150.000,12.900,
151.000,17.700,
152.000,20.400,
153.000,19.600,
154.000,21.400,
155.000,19.000,
156.000,15.000,
157.000,12.300,
158.000,10.200,
159.000,8.780,
160.000,8.450,
161.000,13.000,
162.000,25.900,
163.000,65.100,
164.000,72.800,
165.000,61.100,
166.000,44.300,
167.000,28.600,
168.000,35.500,
169.000,64.900,
170.000,49.800,
171.000,34.700,
172.000,27.600,
173.000,24.400,
174.000,26.000,
175.000,32.000,
176.000,35.600,
177.000,123.000,
178.000,258.000,
179.000,302.000,
180.000,304.000,
181.000,275.000,
182.000,238.000,
183.000,188.000,
184.000,148.000,
185.000,121.000,
186.000,101.000,
187.000,87.300,
188.000,76.900,
189.000,58.000,
190.000,39.800,
191.000,50.000,
192.000,169.000,
193.000,627.000,
194.000,680.000,
195.000,533.000,
196.000,406.000,
197.000,295.000,
198.000,229.000,
199.000,225.000,
200.000,261.000,
201.000,231.000,
202.000,187.000,
203.000,145.000,
204.000,115.000,
205.000,98.200,
206.000,94.300,
207.000,115.000,
208.000,142.000,
209.000,166.000,
210.000,157.000,
211.000,132.000,
212.000,115.000,
213.000,103.000,
214.000,95.500,
215.000,82.000,
216.000,73.400,
217.000,73.700,
218.000,77.000,
219.000,71.700,
220.000,75.100,
221.000,78.500,
222.000,88.000,
223.000,142.000,
224.000,198.000,
225.000,253.000,
226.000,285.000,
227.000,270.000,
228.000,241.000,
229.000,200.000,
230.000,164.000,
231.000,141.000,
232.000,127.000,
233.000,111.000,
234.000,104.000,
235.000,117.000,
236.000,311.000,
237.000,789.000,
238.000,1100.000,
239.000,986.000,
240.000,734.000,
241.000,503.000,
242.000,378.000,
243.000,288.000,
244.000,234.000,
245.000,194.000,
246.000,169.000,
247.000,148.000,
248.000,129.000,
249.000,112.000,
250.000,97.900,
251.000,98.200,
252.000,106.000,
253.000,88.900,
254.000,76.800,
255.000,74.000,
256.000,75.100,
257.000,89.300,
258.000,112.000,
259.000,111.000,
260.000,102.000,
261.000,97.600,
262.000,94.600,
263.000,92.200,
264.000,85.000,
265.000,86.800,
266.000,104.000,
267.000,104.000,
268.000,94.000,
269.000,87.400,
270.000,86.200,
271.000,85.900,
272.000,65.400,
273.000,51.400,
274.000,49.600,
275.000,69.100,
276.000,113.000,
277.000,159.000,
278.000,264.000,
279.000,388.000,
280.000,693.000,
281.000,1110.000,
282.000,1230.000,
283.000,1100.000,
284.000,805.000,
285.000,581.000,
286.000,455.000,
287.000,372.000,
288.000,315.000,
289.000,278.000,
290.000,233.000,
291.000,211.000,
292.000,249.000,
293.000,345.000,
294.000,455.000,
295.000,500.000,
296.000,480.000,
297.000,439.000,
298.000,359.000,
299.000,275.000,
300.000,221.000,
301.000,200.000,
302.000,196.000,
303.000,197.000,
304.000,204.000,
305.000,196.000,
306.000,173.000,
307.000,140.000,
308.000,123.000,
309.000,128.000,
310.000,153.000,
