 JDAY =    27.981337811158792     
QIN(JB):,73.018662,
QTR:,15.846000,
QDT(JB):,3.038000,
QWD:,
QSUM(JB):,206.233996,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
1,1,I,46,468.080000,.000000,.000000,50.831524,50.831524,.000000,1.010000,1.010000,5.050000,5.050000,.000000,.000000,.000000,.000000,1.010000,468.080000
2,1,I,46,465.545806,.000000,.000000,16.299325,16.304186,-.029823,1.010000,1.010000,5.050000,5.050000,.000000,.000000,.000000,.000000,1.010000,465.545806
3,1,I,46,464.731158,.000000,.000000,62.385189,62.385189,-1.640772,1.010000,1.010000,46.026058,46.026058,.000000,.000000,.000000,.000000,1.010000,464.731158
4,1,I,46,462.359369,.000000,.000000,-6.192630,-26.238949,-323.712511,1.010000,1.010000,78.123500,78.123500,.000000,.000000,.000000,.000000,1.010000,462.359369
5,1,I,46,462.265133,.000000,.000000,40.376963,40.376963,-807.857179,1.010000,1.010000,65.549000,65.549000,.000000,.000000,.000000,.000000,1.010000,462.265133
6,1,I,46,459.327290,.000000,.000000,39.885195,54.451160,-36.519727,1.010000,1.010000,53.682696,53.682696,.000000,.000000,.000000,.000000,1.010000,459.327290
7,1,I,46,459.186795,.000000,.000000,32.636001,47.439514,-45.359456,1.010000,1.010000,69.538500,69.538500,.000000,.000000,.000000,.000000,1.010000,459.186795
8,1,I,46,459.114166,.000000,.000000,8.990084,14.936202,-66.140850,1.010000,1.010000,67.165000,67.165000,.000000,.000000,.000000,.000000,1.010000,459.114166
9,1,I,46,459.165879,.000000,.000000,40.636729,40.636729,-242.366308,1.010000,1.010000,37.979239,37.979239,.000000,.000000,.000000,.000000,1.010000,459.165879
10,1,I,46,456.779860,.000000,.000000,27.386448,37.832194,-38.142029,1.010000,1.010000,27.522500,27.522500,.000000,.000000,.000000,.000000,1.010000,456.779860
11,1,I,46,456.286630,.000000,.000000,65.078375,65.078375,-130254.055432,1.010000,1.010000,36.764000,36.764000,.000000,.000000,.000000,.000000,1.010000,456.286630
12,1,I,46,454.026172,.000000,.000000,105.983001,105.983001,-4455.785124,1.010000,1.010000,26.964740,26.964740,.000000,.000000,.000000,.000000,1.010000,454.026172
13,1,I,46,451.706485,.000000,.000000,124.167897,174.373450,-40.433602,1.010000,1.010000,25.098500,25.098500,.000000,.000000,.000000,.000000,1.010000,451.706485
14,1,I,46,451.042567,.000000,.000000,102.287917,177.782764,-73.806222,1.010000,1.010000,46.106500,46.106500,.000000,.000000,.000000,.000000,1.010000,451.042567
15,1,I,46,450.565924,.000000,.000000,72.352620,72.352620,-789.618611,1.010000,1.010000,50.904000,50.904000,.000000,.000000,.000000,.000000,1.010000,450.565924
16,1,I,46,447.693454,.000000,.000000,41.939733,102.633536,-144.716710,1.010000,1.010000,49.237500,49.237500,.000000,.000000,.000000,.000000,1.010000,447.693454
17,1,I,46,447.410416,.000000,.000000,37.808645,128.365303,-239.513098,1.010000,1.010000,56.863000,56.863000,.000000,.000000,.000000,.000000,1.010000,447.410416
18,1,I,46,447.030285,.000000,.000000,66.871353,66.871353,-2221.977449,1.010000,1.010000,37.168000,37.168000,.000000,.000000,.000000,.000000,1.010000,447.030285
19,1,I,46,445.225465,.000000,.000000,50.849861,59.893580,-17.785140,1.010000,1.010000,25.351000,25.351000,.000000,.000000,.000000,.000000,1.010000,445.225465
20,1,I,46,444.656471,.000000,.000000,12.970349,10.908891,15.893617,1.010000,1.010000,46.864000,46.864000,.000000,.000000,.000000,.000000,1.010000,444.656471
21,1,I,46,444.288952,.000000,.000000,73.581565,73.581565,-445.754564,1.010000,1.010000,45.652000,45.652000,.000000,.000000,.000000,.000000,1.010000,444.288952
22,1,I,46,441.730918,.000000,.000000,72.981962,69.141837,5.261745,1.010000,1.010000,40.400000,40.400000,.000000,.000000,.000000,.000000,1.010000,441.730918
23,1,I,46,441.287058,.000000,.000000,45.195436,40.196342,11.061059,1.010000,1.010000,60.802000,60.802000,.000000,.000000,.000000,.000000,1.010000,441.287058
24,1,I,46,441.105120,.000000,.000000,73.646280,73.646280,-107.020530,1.010000,1.010000,45.298500,45.298500,.000000,.000000,.000000,.000000,1.010000,441.105120
25,1,I,46,437.030515,.000000,.000000,73.530951,73.530951,-24.116543,1.010000,1.010000,19.190000,19.190000,.000000,.000000,.000000,.000000,1.010000,437.030515
26,1,I,46,436.378655,.000000,.000000,62.663339,89.426249,-42.709040,1.010000,1.010000,24.795500,24.795500,.000000,.000000,.000000,.000000,1.010000,436.378655
27,1,I,46,436.017382,.000000,.000000,59.643754,89.068115,-49.333517,1.010000,1.010000,31.310000,31.310000,.000000,.000000,.000000,.000000,1.010000,436.017382
28,1,I,46,435.729311,.000000,.000000,56.409346,87.280054,-54.726230,1.010000,1.010000,45.904500,45.904500,.000000,.000000,.000000,.000000,1.010000,435.729311
29,1,I,46,435.523572,.000000,.000000,49.206284,83.386268,-69.462639,1.010000,1.010000,47.975000,47.975000,.000000,.000000,.000000,.000000,1.010000,435.523572
30,1,I,46,435.288251,.000000,.000000,73.259985,73.259985,-3662.524997,1.010000,1.010000,39.188000,39.188000,.000000,.000000,.000000,.000000,1.010000,435.288251
31,1,I,46,431.976976,.000000,.000000,73.103838,73.103838,-58.468682,1.010000,1.010000,33.936000,33.936000,.000000,.000000,.000000,.000000,1.010000,431.976976
32,1,I,46,429.857365,.000000,.000000,73.030759,73.030759,-23.214952,1.010000,1.010000,36.158000,36.158000,.000000,.000000,.000000,.000000,1.010000,429.857365
33,1,I,46,426.694683,.000000,.000000,68.580873,93.685289,-36.605565,1.010000,1.010000,49.495513,49.495513,.000000,.000000,.000000,.000000,1.010000,426.694683
34,1,I,46,426.480000,.000000,.000000,64.935441,100.218716,-54.335929,1.010000,1.010000,50.500000,50.500000,.000000,.000000,.000000,.000000,1.010000,426.480000
35,1,I,46,426.159835,1.009882,1.010058,73.018662,73.018662,-131.872289,1.010000,-.000058,44.940857,71.962500,2.751189,2.751189,.000000,1.624772,-.000058,426.159835
36,1,A,46,422.099952,1.009882,1.010058,.000000,.000000,.000000,.000118,-.000058,-.005698,.011559,89.430732,89.430732,17841.201921,-36194.815032,-.000058,422.100128
37,1,A,46,422.099952,1.009882,1.010058,.000000,.000000,.000000,.000118,-.000058,-.005698,.011559,89.430732,89.430732,.000000,.000000,-.000058,422.100128
