$Concentration file for segment 36

JDAY,           Gen1,           ISS1,
     1.000,     0.000,     0.000,
     1.101,     0.099,     0.000,
     1.201,     0.200,     0.000,
     1.300,     0.292,     0.000,
     1.400,     0.391,     0.000,
     1.500,     0.491,     0.000,
     1.600,     0.591,     0.000,
     1.700,     0.691,     0.000,
     1.801,     0.792,     0.000,
     1.900,     0.891,     0.000,
     2.000,     0.991,     0.000,
     2.100,     1.091,     0.000,
     2.200,     1.191,     0.000,
     2.301,     1.292,     0.000,
     2.400,     1.391,     0.000,
     2.500,     1.491,     0.000,
     2.600,     1.591,     0.000,
     2.701,     1.699,     0.000,
     2.800,     1.791,     0.000,
     2.901,     1.899,     0.000,
     3.000,     1.999,     0.000,
     3.100,     2.099,     0.000,
     3.201,     2.198,     0.000,
     3.301,     2.291,     0.000,
     3.400,     2.398,     0.000,
     3.500,     2.498,     0.000,
     3.601,     2.597,     0.000,
     3.700,     2.697,     0.000,
     3.801,     2.790,     0.000,
     3.901,     2.896,     0.000,
     4.000,     2.996,     0.000,
     4.101,     3.095,     0.000,
     4.201,     3.195,     0.000,
     4.300,     3.296,     0.000,
     4.401,     3.394,     0.000,
     4.500,     3.493,     0.000,
     4.600,     3.593,     0.000,
     4.701,     3.693,     0.000,
     4.801,     3.793,     0.000,
     4.900,     3.892,     0.000,
     5.000,     3.995,     0.000,
     5.101,     4.094,     0.000,
     5.200,     4.193,     0.000,
     5.301,     4.292,     0.000,
     5.401,     4.394,     0.000,
     5.500,     4.493,     0.000,
     5.601,     4.592,     0.000,
     5.701,     4.692,     0.000,
     5.800,     4.791,     0.000,
     5.901,     4.889,     0.000,
     6.000,     4.991,     0.000,
     6.100,     5.090,     0.000,
     6.201,     5.191,     0.000,
     6.300,     5.290,     0.000,
     6.400,     5.390,     0.000,
     6.500,     5.488,     0.000,
     6.601,     5.589,     0.000,
     6.700,     5.688,     0.000,
     6.801,     5.788,     0.000,
     6.900,     5.888,     0.000,
     7.000,     5.987,     0.000,
     7.101,     6.087,     0.000,
     7.201,     6.186,     0.000,
     7.300,     6.285,     0.000,
     7.401,     6.385,     0.000,
     7.500,     6.481,     0.000,
     7.600,     6.583,     0.000,
     7.701,     6.682,     0.000,
     7.801,     6.783,     0.000,
     7.900,     6.881,     0.000,
     8.000,     6.981,     0.000,
     8.101,     7.080,     0.000,
     8.200,     7.179,     0.000,
     8.301,     7.280,     0.000,
     8.401,     7.378,     0.000,
     8.500,     7.478,     0.000,
     8.601,     7.577,     0.000,
     8.701,     7.676,     0.000,
     8.800,     7.776,     0.000,
     8.901,     7.875,     0.000,
     9.000,     7.974,     0.000,
     9.100,     8.073,     0.000,
     9.201,     8.173,     0.000,
     9.301,     8.272,     0.000,
     9.400,     8.371,     0.000,
     9.500,     8.470,     0.000,
     9.601,     8.569,     0.000,
     9.700,     8.668,     0.000,
     9.802,     8.768,     0.000,
     9.902,     8.867,     0.000,
    10.000,     8.966,     0.000,
    10.100,     9.063,     0.000,
    10.202,     9.165,     0.000,
    10.300,     9.263,     0.000,
    10.402,     9.360,     0.000,
    10.500,     9.462,     0.000,
    10.600,     9.558,     0.000,
    10.702,     9.659,     0.000,
    10.802,     9.758,     0.000,
    10.900,     9.857,     0.000,
    11.000,     9.956,     0.000,
    11.102,    10.055,     0.000,
    11.200,    10.154,     0.000,
    11.302,    10.253,     0.000,
    11.402,    10.352,     0.000,
    11.500,    10.451,     0.000,
    11.602,    10.549,     0.000,
    11.702,    10.648,     0.000,
    11.800,    10.747,     0.000,
    11.902,    10.846,     0.000,
    12.000,    10.944,     0.000,
    12.100,    11.043,     0.000,
    12.202,    11.142,     0.000,
    12.302,    11.241,     0.001,
    12.400,    11.339,     0.001,
    12.500,    11.438,     0.001,
    12.603,    11.537,     0.001,
    12.700,    11.635,     0.001,
    12.803,    11.734,     0.001,
    12.903,    11.832,     0.001,
    13.000,    11.930,     0.001,
    13.103,    12.029,     0.002,
    13.201,    12.125,     0.002,
    13.300,    12.224,     0.002,
    13.401,    12.321,     0.002,
    13.500,    12.421,     0.002,
    13.600,    12.520,     0.002,
    13.700,    12.616,     0.003,
    13.803,    12.713,     0.004,
    13.900,    12.806,     0.005,
    14.000,    12.893,     0.008,
    14.103,    12.973,     0.011,
    14.200,    13.049,     0.014,
    14.303,    13.126,     0.016,
    14.403,    13.205,     0.018,
    14.500,    13.286,     0.019,
    14.604,    13.371,     0.019,
    14.704,    13.456,     0.019,
    14.800,    13.539,     0.020,
    14.904,    13.621,     0.021,
    15.000,    13.706,     0.021,
    15.100,    13.796,     0.021,
    15.202,    13.889,     0.021,
    15.303,    13.984,     0.021,
    15.400,    14.079,     0.020,
    15.500,    14.172,     0.020,
    15.601,    14.260,     0.021,
    15.700,    14.339,     0.021,
    15.801,    14.407,     0.023,
    15.901,    14.462,     0.025,
    16.000,    14.507,     0.027,
    16.101,    14.541,     0.030,
    16.200,    14.571,     0.033,
    16.300,    14.598,     0.036,
    16.400,    14.620,     0.039,
    16.500,    14.644,     0.041,
    16.600,    14.636,     0.045,
    16.703,    14.603,     0.050,
    16.803,    14.570,     0.055,
    16.900,    14.495,     0.063,
    17.000,    14.434,     0.070,
    17.103,    14.373,     0.077,
    17.200,    14.324,     0.083,
    17.303,    14.285,     0.088,
    17.403,    14.259,     0.092,
    17.500,    14.238,     0.095,
    17.602,    14.217,     0.096,
    17.703,    14.196,     0.098,
    17.800,    14.166,     0.099,
    17.902,    14.132,     0.100,
    18.000,    14.097,     0.101,
    18.100,    14.056,     0.103,
    18.202,    14.012,     0.104,
    18.300,    13.974,     0.105,
    18.400,    13.953,     0.106,
    18.502,    13.937,     0.107,
    18.601,    13.909,     0.109,
    18.700,    13.884,     0.111,
    18.801,    13.879,     0.113,
    18.901,    13.889,     0.115,
    19.000,    13.906,     0.117,
    19.101,    13.927,     0.119,
    19.201,    13.945,     0.121,
    19.300,    13.952,     0.124,
    19.400,    13.938,     0.127,
    19.500,    13.908,     0.131,
    19.600,    13.872,     0.134,
    19.700,    13.807,     0.138,
    19.802,    13.719,     0.143,
    19.900,    13.619,     0.147,
    20.000,    13.486,     0.152,
    20.102,    13.310,     0.159,
    20.200,    13.101,     0.166,
    20.302,    12.871,     0.174,
    20.402,    12.627,     0.183,
