$STR WITHDRAWAL AT SEG36                                     ELEV OF WITHDRAWAL CENTERLINE:457.     

JDAY,           Gen1,           ISS1,
     1.000,    0.00000,    0.00000,
     1.101,    0.09948,    0.00000,
     1.201,    0.19977,    0.00000,
     1.300,    0.29199,    0.00000,
     1.400,    0.39107,    0.00000,
     1.500,    0.49115,    0.00000,
     1.600,    0.59102,    0.00000,
     1.700,    0.69098,    0.00000,
     1.801,    0.79184,    0.00000,
     1.900,    0.89089,    0.00000,
     2.000,    0.99094,    0.00000,
     2.100,    1.09079,    0.00000,
     2.200,    1.19073,    0.00000,
     2.301,    1.29155,    0.00000,
     2.400,    1.39078,    0.00000,
     2.500,    1.49057,    0.00000,
     2.600,    1.59060,    0.00000,
     2.701,    1.69914,    0.00000,
     2.800,    1.79112,    0.00000,
     2.901,    1.89900,    0.00000,
     3.000,    1.99887,    0.00000,
     3.100,    2.09861,    0.00000,
     3.201,    2.19836,    0.00000,
     3.301,    2.29054,    0.00000,
     3.400,    2.39804,    0.00000,
     3.500,    2.49796,    0.00000,
     3.601,    2.59740,    0.00000,
     3.700,    2.69749,    0.00000,
     3.801,    2.78977,    0.00000,
     3.901,    2.89643,    0.00000,
     4.000,    2.99649,    0.00000,
     4.101,    3.09541,    0.00000,
     4.201,    3.19538,    0.00000,
     4.300,    3.29598,    0.00000,
     4.401,    3.39430,    0.00000,
     4.500,    3.49347,    0.00000,
     4.600,    3.59340,    0.00000,
     4.701,    3.69264,    0.00000,
     4.801,    3.79337,    0.00000,
     4.900,    3.89169,    0.00000,
     5.000,    3.99477,    0.00000,
     5.101,    4.09391,    0.00000,
     5.200,    4.19318,    0.00000,
     5.301,    4.29170,    0.00000,
     5.401,    4.39365,    0.00000,
     5.500,    4.49303,    0.00000,
     5.601,    4.59210,    0.00000,
     5.701,    4.69220,    0.00000,
     5.800,    4.79086,    0.00000,
     5.901,    4.88924,    0.00000,
     6.000,    4.99131,    0.00000,
     6.100,    5.08989,    0.00000,
     6.201,    5.19067,    0.00000,
     6.300,    5.29023,    0.00000,
     6.400,    5.39018,    0.00000,
     6.500,    5.48830,    0.00000,
     6.601,    5.58884,    0.00000,
     6.700,    5.68768,    0.00000,
     6.801,    5.78833,    0.00000,
     6.900,    5.88770,    0.00000,
     7.000,    5.98727,    0.00000,
     7.101,    6.08710,    0.00000,
     7.201,    6.18614,    0.00000,
     7.300,    6.28519,    0.00000,
     7.401,    6.38522,    0.00000,
     7.500,    6.48144,    0.00000,
     7.600,    6.58310,    0.00000,
     7.701,    6.68242,    0.00000,
     7.801,    6.78292,    0.00000,
     7.900,    6.88102,    0.00000,
     8.000,    6.98052,    0.00000,
     8.101,    7.08000,    0.00000,
     8.200,    7.17937,    0.00000,
     8.301,    7.27982,    0.00000,
     8.401,    7.37796,    0.00000,
     8.500,    7.47758,    0.00000,
     8.601,    7.57686,    0.00000,
     8.701,    7.67595,    0.00000,
     8.800,    7.77629,    0.00000,
     8.901,    7.87464,    0.00000,
     9.000,    7.97386,    0.00000,
     9.100,    8.07307,    0.00000,
     9.201,    8.17265,    0.00000,
     9.301,    8.27233,    0.00000,
     9.400,    8.37080,    0.00000,
     9.500,    8.46996,    0.00000,
     9.601,    8.56912,    0.00000,
     9.700,    8.66835,    0.00000,
     9.802,    8.76803,    0.00000,
     9.902,    8.86661,    0.00000,
    10.000,    8.96618,    0.00000,
    10.100,    9.06346,    0.00000,
    10.202,    9.16532,    0.00000,
    10.300,    9.26340,    0.00000,
    10.402,    9.36026,    0.00000,
    10.500,    9.46230,    0.00000,
    10.600,    9.55839,    0.00000,
    10.702,    9.65916,    0.00000,
    10.802,    9.75820,    0.00000,
    10.900,    9.85704,    0.00000,
    11.000,    9.95604,    0.00000,
    11.102,   10.05494,    0.00000,
    11.200,   10.15402,    0.00000,
    11.302,   10.25298,    0.00000,
    11.402,   10.35172,    0.00000,
    11.500,   10.45067,    0.00001,
    11.602,   10.54928,    0.00004,
    11.702,   10.64819,    0.00008,
    11.800,   10.74704,    0.00011,
    11.902,   10.84581,    0.00016,
    12.000,   10.94445,    0.00023,
    12.100,   11.04338,    0.00032,
    12.202,   11.14193,    0.00040,
    12.302,   11.24098,    0.00051,
    12.400,   11.33925,    0.00063,
    12.500,   11.43790,    0.00076,
    12.603,   11.53660,    0.00088,
    12.700,   11.63501,    0.00101,
    12.803,   11.73356,    0.00113,
    12.903,   11.83227,    0.00125,
    13.000,   11.93036,    0.00137,
    13.103,   12.02872,    0.00150,
    13.201,   12.12509,    0.00165,
    13.300,   12.22395,    0.00180,
    13.401,   12.32138,    0.00197,
    13.500,   12.42085,    0.00220,
    13.600,   12.51963,    0.00248,
    13.700,   12.61578,    0.00283,
    13.803,   12.71269,    0.00361,
    13.900,   12.80594,    0.00521,
    14.000,   12.89282,    0.00785,
    14.103,   12.97269,    0.01102,
    14.200,   13.04922,    0.01392,
    14.303,   13.12626,    0.01611,
    14.403,   13.20513,    0.01770,
    14.500,   13.28567,    0.01867,
    14.604,   13.37143,    0.01884,
    14.704,   13.45554,    0.01925,
    14.800,   13.53893,    0.01984,
    14.904,   13.62101,    0.02058,
    15.000,   13.70579,    0.02110,
    15.100,   13.79640,    0.02121,
    15.202,   13.88890,    0.02094,
    15.303,   13.98407,    0.02064,
    15.400,   14.07947,    0.02043,
    15.500,   14.17154,    0.02038,
    15.601,   14.26005,    0.02053,
    15.700,   14.33888,    0.02124,
    15.801,   14.40746,    0.02254,
    15.901,   14.46206,    0.02455,
    16.000,   14.50721,    0.02716,
    16.101,   14.54078,    0.03020,
    16.200,   14.57058,    0.03305,
    16.300,   14.59763,    0.03577,
    16.400,   14.62002,    0.03852,
    16.500,   14.64378,    0.04097,
    16.600,   14.63579,    0.04503,
    16.703,   14.60295,    0.05034,
    16.803,   14.57001,    0.05548,
    16.900,   14.49473,    0.06301,
    17.000,   14.43356,    0.06984,
    17.103,   14.37320,    0.07695,
    17.200,   14.32435,    0.08316,
    17.303,   14.28485,    0.08831,
    17.403,   14.25863,    0.09197,
    17.500,   14.23784,    0.09455,
    17.602,   14.21740,    0.09625,
    17.703,   14.19585,    0.09757,
    17.800,   14.16613,    0.09888,
    17.902,   14.13152,    0.10012,
    18.000,   14.09675,    0.10133,
    18.100,   14.05569,    0.10265,
    18.202,   14.01153,    0.10402,
    18.300,   13.97441,    0.10519,
    18.400,   13.95273,    0.10598,
    18.502,   13.93685,    0.10700,
    18.601,   13.90854,    0.10897,
    18.700,   13.88396,    0.11131,
    18.801,   13.87947,    0.11327,
    18.901,   13.88890,    0.11513,
    19.000,   13.90614,    0.11700,
    19.101,   13.92705,    0.11896,
    19.201,   13.94491,    0.12109,
    19.300,   13.95196,    0.12355,
    19.400,   13.93761,    0.12674,
    19.500,   13.90773,    0.13051,
    19.600,   13.87204,    0.13395,
    19.700,   13.80694,    0.13824,
    19.802,   13.71922,    0.14289,
    19.900,   13.61885,    0.14734,
    20.000,   13.48597,    0.15239,
    20.102,   13.30982,    0.15862,
    20.200,   13.10108,    0.16586,
    20.302,   12.87145,    0.17397,
    20.402,   12.62696,    0.18296,
    20.500,   12.38906,    0.19218,
    20.600,   12.14777,    0.20197,
    20.701,   11.91864,    0.21184,
    20.800,   11.69059,    0.22234,
    20.901,   11.48543,    0.23246,
    21.000,   11.29641,    0.24257,
    21.100,   11.12148,    0.25276,
    21.201,   10.95825,    0.26339,
    21.301,   10.80763,    0.27439,
    21.400,   10.67813,    0.28594,
    21.501,   10.51853,    0.29876,
    21.600,   10.36631,    0.31226,
    21.700,   10.19707,    0.32717,
    21.801,   10.00652,    0.34348,
    21.901,    9.76777,    0.36403,
    22.000,    9.49614,    0.38638,
    22.101,    9.26297,    0.40164,
    22.201,    9.01737,    0.41567,
    22.300,    8.74895,    0.43080,
    22.400,    8.45395,    0.44708,
    22.500,    8.14102,    0.46344,
    22.600,    7.80719,    0.47975,
