$Wangjiaba CMFD 1981 meteorological data,,,,,,
cloud cover from CMFD shortwave radiation,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,
1.000,-1.321,-11.665,3.015,270.000,5.586,
2.000,-2.202,-12.978,2.320,270.000,5.374,
3.000,-0.301,-11.710,4.849,270.000,5.535,
4.000,2.050,-7.571,4.725,270.000,6.658,
5.000,0.697,-0.673,4.265,270.000,8.815,
6.000,0.436,-2.946,2.333,270.000,8.773,
7.000,2.095,-3.500,2.268,270.000,8.119,
8.000,3.804,-0.101,1.787,270.000,5.702,
9.000,2.749,1.082,2.224,270.000,8.875,
10.000,1.514,-8.314,4.449,270.000,5.496,
11.000,4.133,-6.781,5.127,270.000,5.255,
12.000,5.204,-4.122,4.334,270.000,5.333,
13.000,6.750,-1.443,2.786,270.000,5.582,
14.000,7.272,1.069,5.526,270.000,5.534,
15.000,-1.043,-8.532,3.792,270.000,5.467,
16.000,-1.407,-10.062,2.194,270.000,5.237,
17.000,2.930,-5.589,2.912,270.000,5.590,
18.000,4.805,-3.748,2.673,270.000,6.645,
19.000,2.994,-2.070,3.836,270.000,7.155,
20.000,-0.496,-1.326,4.626,270.000,8.844,
21.000,-0.457,-1.860,4.014,270.000,9.221,
22.000,1.438,-0.531,5.078,270.000,9.175,
23.000,-0.213,-0.585,4.428,270.000,8.959,
24.000,-1.648,-4.438,4.142,270.000,8.424,
25.000,-2.751,-6.216,4.544,270.000,8.657,
26.000,-4.391,-11.187,2.827,270.000,8.964,
27.000,-3.810,-8.351,2.090,270.000,8.650,
28.000,-0.275,-5.017,1.387,270.000,5.369,
29.000,0.447,-3.030,2.224,270.000,8.414,
30.000,-0.014,-2.791,1.668,270.000,8.575,
31.000,1.143,-1.938,2.532,270.000,7.579,
32.000,3.053,-0.607,2.198,270.000,5.535,
33.000,2.627,0.543,1.716,270.000,7.974,
34.000,1.445,-2.697,3.269,270.000,5.708,
35.000,2.607,-2.906,4.881,270.000,5.150,
36.000,2.064,-0.435,1.925,270.000,7.718,
37.000,3.187,-1.345,0.579,270.000,5.257,
38.000,7.189,-0.551,3.154,270.000,5.171,
39.000,8.451,-2.963,5.134,270.000,5.180,
40.000,4.738,-5.102,2.342,270.000,5.437,
41.000,6.667,-4.980,4.157,270.000,4.905,
42.000,8.980,0.130,3.328,270.000,6.841,
43.000,9.001,7.325,2.326,270.000,8.745,
44.000,10.580,7.852,2.711,270.000,5.715,
45.000,10.892,9.268,3.888,270.000,6.007,
46.000,6.735,6.036,6.830,270.000,8.791,
47.000,-0.015,-0.691,4.667,270.000,8.788,
48.000,2.590,-0.554,2.608,270.000,7.886,
49.000,4.587,2.269,3.386,270.000,7.646,
50.000,3.710,2.916,3.482,270.000,8.790,
51.000,4.079,1.406,3.409,270.000,6.440,
52.000,6.634,4.114,3.090,270.000,6.024,
53.000,8.818,6.775,2.882,270.000,6.991,
54.000,3.363,2.319,4.866,270.000,8.746,
55.000,2.269,-3.573,2.804,270.000,7.617,
56.000,0.751,-5.541,3.282,270.000,5.640,
57.000,0.091,-6.503,4.381,270.000,6.200,
58.000,-0.452,-5.796,5.049,270.000,6.848,
59.000,2.763,-2.279,2.276,270.000,6.806,
60.000,2.196,1.854,3.038,270.000,8.670,
61.000,3.768,2.447,2.514,270.000,8.642,
62.000,5.424,2.646,2.761,270.000,7.796,
63.000,9.233,0.376,3.291,270.000,4.569,
64.000,11.191,2.903,3.612,270.000,5.269,
65.000,9.650,-2.518,4.558,270.000,4.287,
66.000,13.060,2.138,6.606,270.000,4.429,
67.000,6.364,-0.681,3.382,270.000,4.968,
68.000,8.634,-0.533,3.336,270.000,4.837,
69.000,9.534,1.270,5.694,270.000,6.849,
70.000,10.622,6.304,1.816,270.000,7.459,
71.000,11.172,9.349,0.602,270.000,8.335,
72.000,14.792,10.980,2.601,270.000,5.160,
73.000,13.031,1.000,4.072,270.000,4.862,
74.000,12.379,0.093,4.226,270.000,4.508,
75.000,13.897,4.838,3.012,270.000,4.314,
76.000,15.433,6.457,3.513,270.000,4.862,
77.000,12.612,8.735,3.196,270.000,5.644,
78.000,14.193,11.601,5.088,270.000,6.136,
79.000,13.594,8.971,4.143,270.000,4.865,
80.000,16.421,6.873,3.467,270.000,4.409,
81.000,17.945,11.991,3.802,270.000,5.101,
82.000,13.388,11.911,5.944,270.000,8.566,
83.000,10.867,8.553,5.221,270.000,7.551,
84.000,11.705,1.437,4.868,270.000,4.971,
85.000,13.213,2.415,3.816,270.000,4.199,
86.000,11.497,10.288,2.259,270.000,8.514,
87.000,12.555,11.689,2.607,270.000,8.301,
88.000,9.860,8.443,4.728,270.000,8.548,
89.000,8.990,8.384,2.567,270.000,8.558,
90.000,11.445,10.874,2.950,270.000,8.614,
91.000,10.688,9.842,4.279,270.000,8.808,
92.000,9.406,6.199,3.678,270.000,6.981,
93.000,7.706,6.695,2.130,270.000,8.571,
94.000,9.384,7.042,1.405,270.000,7.100,
95.000,12.610,9.759,2.418,270.000,5.402,
96.000,14.836,10.034,4.492,270.000,4.741,
97.000,12.409,8.757,5.617,270.000,8.343,
98.000,11.880,10.759,2.523,270.000,8.524,
99.000,13.907,11.518,3.174,270.000,6.106,
100.000,16.066,12.713,2.495,270.000,6.172,
101.000,17.375,14.195,1.634,270.000,5.807,
102.000,16.598,13.416,2.937,270.000,6.723,
103.000,15.280,9.722,6.580,270.000,4.513,
104.000,17.206,14.265,2.118,270.000,6.333,
105.000,17.572,14.529,2.365,270.000,5.219,
106.000,20.235,16.168,2.802,270.000,5.224,
107.000,12.277,11.235,6.222,270.000,8.466,
108.000,13.633,11.757,3.038,270.000,6.401,
109.000,15.397,10.270,2.720,270.000,5.592,
110.000,15.439,9.642,1.316,270.000,6.790,
111.000,18.071,12.139,2.835,270.000,4.207,
112.000,21.015,14.285,3.341,270.000,4.026,
113.000,21.502,15.312,4.056,270.000,4.009,
114.000,13.209,7.296,2.982,270.000,8.094,
115.000,17.429,7.765,2.426,270.000,4.054,
116.000,18.815,10.944,3.492,270.000,4.075,
117.000,20.310,14.404,2.480,270.000,3.911,
118.000,20.927,15.636,3.122,270.000,4.285,
119.000,18.769,9.694,2.003,270.000,3.864,
120.000,21.945,13.774,2.663,270.000,4.091,
121.000,24.239,18.228,4.545,270.000,5.190,
122.000,15.501,4.022,4.284,270.000,8.367,
123.000,16.684,3.288,4.544,270.000,3.852,
124.000,19.148,6.942,4.993,270.000,3.877,
125.000,20.890,9.041,6.348,270.000,3.757,
126.000,24.203,11.707,6.170,270.000,3.814,
127.000,26.789,15.535,5.208,270.000,3.761,
128.000,27.657,17.852,5.108,270.000,3.761,
129.000,25.032,17.753,2.821,270.000,4.111,
130.000,23.077,12.783,5.255,270.000,4.281,
131.000,17.338,3.227,2.368,270.000,7.320,
132.000,19.413,5.059,3.503,270.000,3.730,
133.000,21.413,9.461,3.324,270.000,4.793,
134.000,16.994,14.157,1.351,270.000,8.380,
135.000,19.989,8.608,3.961,270.000,3.732,
136.000,20.301,7.828,3.674,270.000,3.843,
137.000,23.363,7.751,5.958,270.000,4.035,
138.000,18.610,12.521,2.513,270.000,4.295,
139.000,20.736,11.322,2.564,270.000,4.271,
140.000,20.545,9.593,3.141,270.000,4.049,
141.000,21.231,9.973,3.079,270.000,3.670,
142.000,21.272,12.186,1.989,270.000,5.787,
143.000,22.447,11.130,2.530,270.000,3.712,
144.000,25.024,10.554,3.055,270.000,3.769,
145.000,25.521,15.277,3.445,270.000,4.343,
146.000,23.718,20.425,2.631,270.000,8.275,
147.000,25.875,16.535,3.727,270.000,4.571,
148.000,25.851,7.934,3.295,270.000,3.641,
149.000,17.905,13.790,2.996,270.000,8.294,
150.000,21.529,14.724,2.396,270.000,3.685,
151.000,22.552,14.692,3.093,270.000,4.904,
152.000,21.844,9.842,4.115,270.000,3.689,
153.000,19.436,8.703,4.510,270.000,4.411,
154.000,21.351,10.771,1.293,270.000,4.330,
155.000,23.758,12.249,3.031,270.000,3.531,
156.000,24.275,9.955,3.999,270.000,3.443,
157.000,26.952,13.543,2.398,270.000,3.544,
158.000,27.937,17.080,2.874,270.000,5.030,
159.000,26.992,20.992,2.398,270.000,7.664,
160.000,21.946,21.432,3.319,270.000,8.430,
161.000,20.971,18.946,4.193,270.000,8.338,
162.000,19.984,18.610,1.978,270.000,8.224,
163.000,22.762,18.172,1.727,270.000,4.973,
164.000,24.405,17.266,3.068,270.000,3.702,
165.000,25.796,17.113,3.912,270.000,3.682,
166.000,27.558,19.600,3.961,270.000,3.539,
167.000,30.186,19.445,3.104,270.000,3.546,
168.000,30.299,19.989,2.144,270.000,3.923,
169.000,31.493,21.993,1.983,270.000,3.886,
170.000,32.438,24.409,2.098,270.000,3.873,
171.000,32.735,25.338,2.629,270.000,3.862,
172.000,27.418,22.961,3.640,270.000,6.110,
173.000,28.812,18.717,3.040,270.000,6.290,
174.000,23.998,19.889,3.124,270.000,8.317,
175.000,23.234,20.855,2.564,270.000,7.982,
176.000,22.140,21.442,2.145,270.000,8.345,
177.000,28.313,24.638,4.599,270.000,5.860,
178.000,25.088,23.437,3.669,270.000,7.582,
179.000,24.958,21.965,1.963,270.000,4.438,
180.000,25.895,21.995,3.173,270.000,4.086,
181.000,26.347,23.385,2.503,270.000,5.253,
182.000,27.261,23.178,1.332,270.000,5.468,
183.000,27.801,24.594,2.971,270.000,5.026,
184.000,30.877,23.501,4.769,270.000,4.679,
185.000,30.183,23.252,5.758,270.000,5.741,
186.000,30.699,24.119,5.808,270.000,4.115,
187.000,31.259,25.860,2.681,270.000,4.578,
188.000,32.024,24.759,3.262,270.000,4.356,
189.000,31.757,23.351,5.553,270.000,4.330,
190.000,27.990,24.788,2.885,270.000,5.930,
191.000,24.868,24.438,2.852,270.000,8.917,
192.000,25.493,23.883,2.954,270.000,6.030,
193.000,27.020,23.981,4.020,270.000,5.073,
194.000,29.348,26.689,2.587,270.000,5.296,
195.000,30.574,25.540,2.391,270.000,4.417,
196.000,29.911,24.958,2.798,270.000,4.609,
197.000,27.108,25.297,1.895,270.000,7.107,
