$Flow file for segment 36
To the right of the sum of flows are individual flows starting with downstream then lateral withdrawals
JDAY,QWD(m3s-1),
     1.000,  367.319,          367.319,
     1.101,  401.957,          401.957,
     1.201,  217.203,          217.203,
     1.300,  296.189,          296.189,
     1.400,  237.443,          237.443,
     1.500,  215.065,          215.065,
     1.600,  215.469,          215.469,
     1.700,  212.262,          212.262,
     1.801,  223.321,          223.321,
     1.900,  220.278,          220.278,
     2.000,  216.359,          216.359,
     2.100,  223.259,          223.259,
     2.200,  225.554,          225.554,
     2.301,  224.816,          224.816,
     2.400,  223.116,          223.116,
     2.500,  220.971,          220.971,
     2.600,  224.733,          224.733,
     2.701,  224.960,          224.960,
     2.800,  221.501,          221.501,
     2.901,  221.134,          221.134,
     3.000,  218.326,          218.326,
     3.100,  218.102,          218.102,
     3.201,  222.543,          222.543,
     3.301,  221.890,          221.890,
     3.400,  217.412,          217.412,
     3.500,  219.545,          219.545,
     3.601,  224.139,          224.139,
     3.700,  223.197,          223.197,
     3.801,  218.143,          218.143,
     3.901,  209.051,          209.051,
     4.000,  208.559,          208.559,
     4.101,  211.196,          211.196,
     4.201,  208.652,          208.652,
     4.300,  191.842,          191.842,
     4.401,  190.053,          190.053,
     4.500,  215.834,          215.834,
     4.600,  212.040,          212.040,
     4.701,  206.543,          206.543,
     4.801,  187.326,          187.326,
     4.900,  232.115,          232.115,
     5.000,  217.037,          217.037,
     5.101,  236.962,          236.962,
     5.200,  228.270,          228.270,
     5.301,  237.859,          237.859,
     5.401,  228.249,          228.249,
     5.500,  225.247,          225.247,
     5.601,  227.610,          227.610,
     5.701,  224.857,          224.857,
     5.800,  219.241,          219.241,
     5.901,  224.385,          224.385,
     6.000,  223.075,          223.075,
     6.100,  213.490,          213.490,
     6.201,  221.420,          221.420,
     6.300,  221.747,          221.747,
     6.400,  223.034,          223.034,
     6.500,  221.768,          221.768,
     6.601,  219.200,          219.200,
     6.700,  212.725,          212.725,
     6.801,  211.839,          211.839,
     6.900,  206.593,          206.593,
     7.000,  212.202,          212.202,
     7.101,  209.531,          209.531,
     7.201,  215.368,          215.368,
     7.300,  209.171,          209.171,
     7.401,  211.738,          211.738,
     7.500,  212.684,          212.684,
     7.600,  220.889,          220.889,
     7.701,  215.408,          215.408,
     7.801,  214.175,          214.175,
     7.900,  212.724,          212.724,
     8.000,  214.520,          214.520,
     8.101,  197.354,          197.354,
     8.200,  209.934,          209.934,
     8.301,  167.471,          167.471,
     8.401,  190.057,          190.057,
     8.500,  177.819,          177.819,
     8.601,  206.873,          206.873,
     8.701,  205.856,          205.856,
     8.800,  195.925,          195.925,
     8.901,  205.139,          205.139,
     9.000,  231.617,          231.617,
     9.100,  218.874,          218.874,
     9.201,  204.547,          204.547,
     9.301,  227.014,          227.014,
     9.400,  168.326,          168.326,
     9.500,  160.437,          160.437,
     9.601,  198.431,          198.431,
     9.700,  298.728,          298.728,
     9.802,  167.030,          167.030,
     9.902,  204.148,          204.148,
    10.000,  223.342,          223.342,
    10.100,  231.356,          231.356,
    10.202,  217.941,          217.941,
    10.300,  211.438,          211.438,
    10.402,  212.121,          212.121,
    10.500,  209.992,          209.992,
    10.600,  208.350,          208.350,
    10.702,  207.511,          207.511,
    10.802,  208.690,          208.690,
    10.900,  207.870,          207.870,
    11.000,  207.631,          207.631,
    11.102,  209.411,          209.411,
    11.200,  209.050,          209.050,
    11.302,  204.662,          204.662,
    11.402,  213.450,          213.450,
    11.500,  207.331,          207.331,
    11.602,  210.212,          210.212,
    11.702,  209.351,          209.351,
    11.800,  207.491,          207.491,
    11.902,  204.841,          204.841,
    12.000,  202.619,          202.619,
    12.100,  190.325,          190.325,
    12.202,  207.452,          207.452,
    12.302,  206.494,          206.494,
    12.400,  212.101,          212.101,
    12.500,  211.598,          211.598,
    12.603,  207.351,          207.351,
    12.700,  214.196,          214.196,
    12.803,  212.825,          212.825,
    12.903,  208.650,          208.650,
    13.000,  204.463,          204.463,
    13.103,  212.342,          212.342,
    13.201,  212.846,          212.846,
    13.300,  222.953,          222.953,
    13.401,  216.622,          216.622,
    13.500,  219.668,          219.668,
    13.600,  218.651,          218.651,
    13.700,  213.006,          213.006,
    13.803,  220.665,          220.665,
    13.900,  213.893,          213.893,
    14.000,  214.398,          214.398,
    14.103,  204.165,          204.165,
    14.200,  205.179,          205.179,
    14.303,  207.191,          207.191,
    14.403,  203.133,          203.133,
    14.500,  208.450,          208.450,
    14.604,  191.965,          191.965,
    14.704,  195.006,          195.006,
    14.800,  195.571,          195.571,
    14.904,  212.973,          212.973,
    15.000,  202.876,          202.876,
    15.100,  194.456,          194.456,
    15.202,  191.646,          191.646,
    15.303,  189.298,          189.298,
    15.400,  186.246,          186.246,
    15.500,  181.509,          181.509,
    15.601,  181.031,          181.031,
    15.700,  187.809,          187.809,
    15.801,  185.822,          185.822,
    15.901,  189.724,          189.724,
    16.000,  192.405,          192.405,
    16.101,  206.912,          206.912,
    16.200,  207.910,          207.910,
    16.300,  200.127,          200.127,
    16.400,  205.736,          205.736,
    16.500,  165.363,          165.363,
    16.600,  185.861,          185.861,
    16.703,  215.532,          215.532,
    16.803,  188.326,          188.326,
    16.900,  226.664,          226.664,
    17.000,  193.965,          193.965,
    17.103,  197.765,          197.765,
    17.200,  206.812,          206.812,
    17.303,  217.859,          217.859,
    17.403,  217.635,          217.635,
    17.500,  219.037,          219.037,
    17.602,  218.793,          218.793,
    17.703,  222.175,          222.175,
    17.800,  221.767,          221.767,
    17.902,  223.423,          223.423,
    18.000,  218.854,          218.854,
    18.100,  227.487,          227.487,
    18.202,  223.198,          223.198,
    18.300,  222.502,          222.502,
    18.400,  218.915,          218.915,
    18.502,  215.731,          215.731,
    18.601,  214.256,          214.256,
    18.700,  213.873,          213.873,
    18.801,  208.990,          208.990,
    18.901,  214.498,          214.498,
    19.000,  217.108,          217.108,
    19.101,  179.526,          179.526,
    19.201,  180.383,          180.383,
    19.300,  172.815,          172.815,
    19.400,  176.434,          176.434,
    19.500,  177.798,          177.798,
    19.600,  175.791,          175.791,
    19.700,  175.924,          175.924,
    19.802,  169.724,          169.724,
    19.900,  173.867,          173.867,
    20.000,  173.510,          173.510,
    20.102,  195.196,          195.196,
    20.200,  192.230,          192.230,
    20.302,  194.824,          194.824,
    20.402,  193.301,          193.301,
    20.500,  196.685,          196.685,
    20.600,  195.803,          195.803,
    20.701,  200.779,          200.779,
    20.800,  198.728,          198.728,
    20.901,  199.535,          199.535,
    21.000,  198.964,          198.964,
    21.100,  207.351,          207.351,
    21.201,  206.533,          206.533,
    21.301,  206.613,          206.613,
    21.400,  205.597,          205.597,
    21.501,  206.533,          206.533,
    21.600,  207.231,          207.231,
    21.700,  205.836,          205.836,
    21.801,  207.012,          207.012,
    21.901,  204.802,          204.802,
    22.000,  205.338,          205.338,
    22.101,  205.816,          205.816,
    22.201,  204.523,          204.523,
    22.300,  205.298,          205.298,
    22.400,  205.418,          205.418,
    22.500,  201.174,          201.174,
    22.600,  205.239,          205.239,
    22.700,  204.801,          204.801,
    22.800,  204.046,          204.046,
    22.900,  204.682,          204.682,
    23.000,  202.796,          202.796,
    23.100,  212.865,          212.865,
    23.200,  212.282,          212.282,
    23.303,  218.366,          218.366,
    23.400,  216.845,          216.845,
    23.500,  211.357,          211.357,
    23.600,  214.458,          214.458,
    23.703,  208.810,          208.810,
    23.800,  209.531,          209.531,
    23.903,  207.711,          207.711,
    24.000,  206.932,          206.932,
    24.100,  211.376,          211.376,
    24.202,  211.819,          211.819,
    24.302,  208.250,          208.250,
    24.400,  210.553,          210.553,
    24.500,  208.870,          208.870,
    24.602,  208.550,          208.550,
    24.700,  210.052,          210.052,
    24.802,  209.972,          209.972,
    24.902,  208.190,          208.190,
    25.000,  208.110,          208.110,
    25.101,  205.398,          205.398,
    25.201,  204.086,          204.086,
    25.300,  203.371,          203.371,
    25.401,  207.930,          207.930,
    25.500,  202.895,          202.895,
    25.600,  204.423,          204.423,
    25.701,  204.284,          204.284,
    25.801,  200.581,          200.581,
    25.900,  204.225,          204.225,
    26.000,  203.629,          203.629,
    26.101,  208.830,          208.830,
    26.200,  213.651,          213.651,
    26.300,  209.411,          209.411,
    26.400,  208.030,          208.030,
    26.500,  211.798,          211.798,
    26.600,  218.671,          218.671,
    26.700,  208.830,          208.830,
    26.800,  216.501,          216.501,
    26.902,  213.187,          213.187,
    27.000,  212.242,          212.242,
    27.100,  212.040,          212.040,
    27.202,  212.966,          212.966,
    27.302,  212.423,          212.423,
    27.400,  211.497,          211.497,
    27.500,  212.825,          212.825,
    27.601,  213.590,          213.590,
    27.700,  211.718,          211.718,
    27.801,  208.990,          208.990,
    27.900,  211.678,          211.678,
