$STR WITHDRAWAL AT SEG36                                     ELEV OF WITHDRAWAL CENTERLINE:457.     

JDAY,QWD(m3s-1)
     1.000,  367.3190
     1.101,  401.9570
     1.201,  217.2030
     1.300,  296.1890
     1.400,  237.4430
     1.500,  215.0650
     1.600,  215.4690
     1.700,  212.2620
     1.801,  223.3210
     1.900,  220.2780
     2.000,  216.3590
     2.100,  223.2590
     2.200,  225.5540
     2.301,  224.8160
     2.400,  223.1160
     2.500,  220.9710
     2.600,  224.7330
     2.701,  224.9600
     2.800,  221.5010
     2.901,  221.1340
     3.000,  218.3260
     3.100,  218.1020
     3.201,  222.5430
     3.301,  221.8900
     3.400,  217.4120
     3.500,  219.5450
     3.601,  224.1390
     3.700,  223.1970
     3.801,  218.1430
     3.901,  209.0510
     4.000,  208.5590
     4.101,  211.1960
     4.201,  208.6520
     4.300,  191.8420
     4.401,  190.0530
     4.500,  215.8340
     4.600,  212.0400
     4.701,  206.5430
     4.801,  187.3260
     4.900,  232.1150
     5.000,  217.0370
     5.101,  236.9620
     5.200,  228.2700
     5.301,  237.8590
     5.401,  228.2490
     5.500,  225.2470
     5.601,  227.6100
     5.701,  224.8570
     5.800,  219.2410
     5.901,  224.3850
     6.000,  223.0750
     6.100,  213.4900
     6.201,  221.4200
     6.300,  221.7470
     6.400,  223.0340
     6.500,  221.7680
     6.601,  219.2000
     6.700,  212.7250
     6.801,  211.8390
     6.900,  206.5930
     7.000,  212.2020
     7.101,  209.5310
     7.201,  215.3680
     7.300,  209.1710
     7.401,  211.7380
     7.500,  212.6840
     7.600,  220.8890
     7.701,  215.4080
     7.801,  214.1750
     7.900,  212.7240
     8.000,  214.5200
     8.101,  197.3540
     8.200,  209.9340
     8.301,  167.4710
     8.401,  190.0570
     8.500,  177.8190
     8.601,  206.8730
     8.701,  205.8560
     8.800,  195.9250
     8.901,  205.1390
     9.000,  231.6170
     9.100,  218.8740
     9.201,  204.5470
     9.301,  227.0140
     9.400,  168.3260
     9.500,  160.4370
     9.601,  198.4310
     9.700,  298.7280
     9.802,  167.0300
     9.902,  204.1480
    10.000,  223.3420
    10.100,  231.3560
    10.202,  217.9410
    10.300,  211.4380
    10.402,  212.1210
    10.500,  209.9920
    10.600,  208.3500
    10.702,  207.5110
    10.802,  208.6900
    10.900,  207.8700
    11.000,  207.6310
    11.102,  209.4110
    11.200,  209.0500
    11.302,  204.6620
    11.402,  213.4500
    11.500,  207.3310
    11.602,  210.2120
    11.702,  209.3510
    11.800,  207.4910
    11.902,  204.8410
    12.000,  202.6190
    12.100,  190.3250
    12.202,  207.4520
    12.302,  206.4940
    12.400,  212.1010
    12.500,  211.5980
    12.603,  207.3510
    12.700,  214.1960
    12.803,  212.8250
    12.903,  208.6500
    13.000,  204.4630
    13.103,  212.3420
    13.201,  212.8460
    13.300,  222.9530
    13.401,  216.6220
    13.500,  219.6680
    13.600,  218.6510
    13.700,  213.0060
    13.803,  220.6650
    13.900,  213.8930
    14.000,  214.3980
    14.103,  204.1650
    14.200,  205.1790
    14.303,  207.1910
    14.403,  203.1330
    14.500,  208.4500
    14.604,  191.9650
    14.704,  195.0060
    14.800,  195.5710
    14.904,  212.9730
    15.000,  202.8760
    15.100,  194.4560
    15.202,  191.6460
    15.303,  189.2980
    15.400,  186.2460
    15.500,  181.5090
    15.601,  181.0310
    15.700,  187.8090
    15.801,  185.8220
    15.901,  189.7240
    16.000,  192.4050
    16.101,  206.9120
    16.200,  207.9100
    16.300,  200.1270
    16.400,  205.7360
    16.500,  165.3630
    16.600,  185.8610
    16.703,  215.5320
    16.803,  188.3260
    16.900,  226.6640
    17.000,  193.9650
    17.103,  197.7650
    17.200,  206.8120
    17.303,  217.8590
    17.403,  217.6350
    17.500,  219.0370
    17.602,  218.7930
    17.703,  222.1750
    17.800,  221.7670
    17.902,  223.4230
    18.000,  218.8540
    18.100,  227.4870
    18.202,  223.1980
    18.300,  222.5020
    18.400,  218.9150
    18.502,  215.7310
    18.601,  214.2560
    18.700,  213.8730
    18.801,  208.9900
    18.901,  214.4980
    19.000,  217.1080
    19.101,  179.5260
    19.201,  180.3830
    19.300,  172.8150
    19.400,  176.4340
    19.500,  177.7980
    19.600,  175.7910
    19.700,  175.9240
    19.802,  169.7240
    19.900,  173.8670
    20.000,  173.5100
    20.102,  195.1960
    20.200,  192.2300
    20.302,  194.8240
    20.402,  193.3010
    20.500,  196.6850
    20.600,  195.8030
    20.701,  200.7790
    20.800,  198.7280
    20.901,  199.5350
    21.000,  198.9640
    21.100,  207.3510
    21.201,  206.5330
    21.301,  206.6130
    21.400,  205.5970
    21.501,  206.5330
    21.600,  207.2310
    21.700,  205.8360
    21.801,  207.0120
    21.901,  204.8020
    22.000,  205.3380
    22.101,  205.8160
    22.201,  204.5230
    22.300,  205.2980
    22.400,  205.4180
    22.500,  201.1740
    22.600,  205.2390
    22.700,  204.8010
    22.800,  204.0460
    22.900,  204.6820
    23.000,  202.7960
    23.100,  212.8650
    23.200,  212.2820
    23.303,  218.3660
    23.400,  216.8450
    23.500,  211.3570
    23.600,  214.4580
    23.703,  208.8100
    23.800,  209.5310
    23.903,  207.7110
    24.000,  206.9320
    24.100,  211.3760
    24.202,  211.8190
    24.302,  208.2500
    24.400,  210.5530
    24.500,  208.8700
    24.602,  208.5500
    24.700,  210.0520
    24.802,  209.9720
    24.902,  208.1900
    25.000,  208.1100
    25.101,  205.3980
    25.201,  204.0860
    25.300,  203.3710
    25.401,  207.9300
    25.500,  202.8950
    25.600,  204.4230
    25.701,  204.2840
    25.801,  200.5810
    25.900,  204.2250
    26.000,  203.6290
    26.101,  208.8300
    26.200,  213.6510
    26.300,  209.4110
    26.400,  208.0300
    26.500,  211.7980
    26.600,  218.6710
    26.700,  208.8300
    26.800,  216.5010
    26.902,  213.1870
    27.000,  212.2420
    27.100,  212.0400
    27.202,  212.9660
    27.302,  212.4230
    27.400,  211.4970
    27.500,  212.8250
    27.601,  213.5900
    27.700,  211.7180
    27.801,  208.9900
    27.900,  211.6780
