JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),           Gen1,           ISS1,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.000,     5.000,   468.080,     9.000,    -0.000,    -0.034,     0.000,     0.450,    10.630,   482.000,     1.000,     9.000,  -272.480,     0.000,   231.734,   349.198,    90.104,    64.912,     0.000,         0.000,         0.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.101,   400.435,   468.017,     8.936,     0.016,    74.298,     0.000,     0.450,    10.567,   482.000,     1.000,     8.936,  -270.280,     0.000,   231.363,   348.888,    88.607,    64.148,     0.000,         0.101,         0.000,         9.898,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.201,   799.117,   467.875,     8.884,     0.028,    92.674,     0.000,     0.450,    10.425,   482.000,     1.000,     8.884,  -268.324,     0.000,   230.990,   348.632,    87.219,    63.463,     0.000,         0.201,         0.000,         9.799,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.300,   797.569,   467.767,     8.827,     0.032,    93.051,   327.391,     0.450,    10.317,   482.000,     1.000,     8.826,    42.536,   308.859,   230.649,   348.331,    85.873,    62.768,     0.000,         0.300,         0.000,         9.701,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.979,
     1.400,   795.131,   467.678,     8.786,     0.025,    81.292,     0.000,     0.450,    10.228,   482.000,     1.000,     8.793,  -264.862,     0.000,   230.284,   348.182,    84.717,    62.247,     0.000,         0.400,         0.000,         9.604,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.500,   792.708,   467.610,     8.731,     0.024,    80.118,     0.000,     0.450,    10.160,   482.000,     1.000,     8.731,  -262.983,     0.000,   229.918,   347.910,    83.400,    61.590,     0.000,         0.500,         0.000,         9.507,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.600,   790.277,   467.544,     8.701,     0.024,    79.880,   329.240,     0.450,    10.094,   482.000,     1.000,     8.701,    49.193,   310.604,   229.553,   347.710,    82.221,    61.033,     0.000,         0.600,         0.000,         9.412,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.988,
     1.700,   787.842,   467.478,     8.613,     0.024,    79.695,     0.000,     0.450,    10.028,   482.000,     1.000,     8.613,  -259.232,     0.000,   229.190,   347.328,    80.814,    60.280,     0.000,         0.700,         0.000,         9.317,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.801,   785.390,   467.407,     8.569,     0.025,    82.473,   330.470,     0.450,     9.957,   482.000,     1.000,     8.570,    54.277,   311.764,   228.826,   347.055,    79.589,    59.669,     0.000,         0.800,         0.000,         9.222,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.992,
     1.900,   782.986,   467.340,     8.510,     0.024,    79.798,     0.000,     0.450,     9.890,   482.000,     1.000,     8.510,  -255.951,     0.000,   228.470,   346.825,    78.468,    59.129,     0.000,         0.899,         0.000,         9.131,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
