$STR WITHDRAWAL AT SEG36                                     ELEV OF WITHDRAWAL CENTERLINE:457.     

JDAY,T(C)
     1.000,    9.00
     1.101,    8.98
     1.201,    8.97
     1.300,    8.96
     1.400,    8.95
     1.500,    8.93
     1.600,    8.92
     1.700,    8.90
     1.801,    8.89
     1.900,    8.88
     2.000,    8.86
     2.100,    8.84
     2.200,    8.83
     2.301,    8.84
     2.400,    8.83
     2.500,    8.82
     2.600,    8.81
     2.701,    8.80
     2.800,    8.78
     2.901,    8.76
     3.000,    8.75
     3.100,    8.73
     3.201,    8.70
     3.301,    8.69
     3.400,    8.66
     3.500,    8.66
     3.601,    8.64
     3.700,    8.62
     3.801,    8.61
     3.901,    8.59
     4.000,    8.58
     4.101,    8.56
     4.201,    8.54
     4.300,    8.53
     4.401,    8.52
     4.500,    8.51
     4.600,    8.49
     4.701,    8.47
     4.801,    8.46
     4.900,    8.44
     5.000,    8.43
     5.101,    8.41
     5.200,    8.39
     5.301,    8.37
     5.401,    8.36
     5.500,    8.34
     5.601,    8.33
     5.701,    8.32
     5.800,    8.30
     5.901,    8.29
     6.000,    8.28
     6.100,    8.27
     6.201,    8.25
     6.300,    8.24
     6.400,    8.23
     6.500,    8.22
     6.601,    8.20
     6.700,    8.19
     6.801,    8.18
     6.900,    8.17
     7.000,    8.16
     7.101,    8.15
     7.201,    8.14
     7.300,    8.13
     7.401,    8.12
     7.500,    8.12
     7.600,    8.11
     7.701,    8.10
     7.801,    8.09
     7.900,    8.09
     8.000,    8.08
     8.101,    8.06
     8.200,    8.05
     8.301,    8.04
     8.401,    8.02
     8.500,    8.01
     8.601,    7.99
     8.701,    7.98
     8.800,    7.97
     8.901,    7.95
     9.000,    7.94
     9.100,    7.92
     9.201,    7.91
     9.301,    7.89
     9.400,    7.87
     9.500,    7.85
     9.601,    7.83
     9.700,    7.81
     9.802,    7.79
     9.902,    7.77
    10.000,    7.75
    10.100,    7.72
    10.202,    7.70
    10.300,    7.68
    10.402,    7.65
    10.500,    7.64
    10.600,    7.62
    10.702,    7.59
    10.802,    7.56
    10.900,    7.54
    11.000,    7.51
    11.102,    7.48
    11.200,    7.45
    11.302,    7.43
    11.402,    7.40
    11.500,    7.38
    11.602,    7.35
    11.702,    7.31
    11.800,    7.29
    11.902,    7.26
    12.000,    7.23
    12.100,    7.20
    12.202,    7.18
    12.302,    7.14
    12.400,    7.11
    12.500,    7.08
    12.603,    7.06
    12.700,    7.03
    12.803,    7.01
    12.903,    6.99
    13.000,    6.97
    13.103,    6.95
    13.201,    6.93
    13.300,    6.91
    13.401,    6.88
    13.500,    6.85
    13.600,    6.82
    13.700,    6.79
    13.803,    6.73
    13.900,    6.63
    14.000,    6.50
    14.103,    6.37
    14.200,    6.25
    14.303,    6.17
    14.403,    6.09
    14.500,    6.03
    14.604,    5.99
    14.704,    5.95
    14.800,    5.90
    14.904,    5.85
    15.000,    5.81
    15.100,    5.78
    15.202,    5.77
    15.303,    5.75
    15.400,    5.74
    15.500,    5.72
    15.601,    5.70
    15.700,    5.66
    15.801,    5.61
    15.901,    5.55
    16.000,    5.49
    16.101,    5.41
    16.200,    5.33
    16.300,    5.25
    16.400,    5.18
    16.500,    5.10
    16.600,    5.01
    16.703,    4.89
    16.803,    4.79
    16.900,    4.64
    17.000,    4.54
    17.103,    4.43
    17.200,    4.36
    17.303,    4.29
    17.403,    4.25
    17.500,    4.22
    17.602,    4.20
    17.703,    4.19
    17.800,    4.18
    17.902,    4.16
    18.000,    4.15
    18.100,    4.13
    18.202,    4.12
    18.300,    4.10
    18.400,    4.10
    18.502,    4.09
    18.601,    4.07
    18.700,    4.06
    18.801,    4.06
    18.901,    4.06
    19.000,    4.05
    19.101,    4.04
    19.201,    4.04
    19.300,    4.03
    19.400,    4.03
    19.500,    4.02
    19.600,    4.02
    19.700,    4.02
    19.802,    4.01
    19.900,    4.01
    20.000,    4.01
    20.102,    4.01
    20.200,    4.03
    20.302,    4.05
    20.402,    4.07
    20.500,    4.09
    20.600,    4.11
    20.701,    4.13
    20.800,    4.15
    20.901,    4.15
    21.000,    4.15
    21.100,    4.15
    21.201,    4.14
    21.301,    4.13
    21.400,    4.11
    21.501,    4.10
    21.600,    4.07
    21.700,    4.06
    21.801,    4.05
    21.901,    4.04
    22.000,    4.04
    22.101,    4.04
    22.201,    4.04
    22.300,    4.04
    22.400,    4.05
    22.500,    4.07
    22.600,    4.10
    22.700,    4.12
    22.800,    4.13
    22.900,    4.13
    23.000,    4.12
    23.100,    4.10
    23.200,    4.08
    23.303,    4.04
    23.400,    3.96
    23.500,    3.87
    23.600,    3.76
    23.703,    3.64
    23.800,    3.52
    23.903,    3.40
    24.000,    3.31
    24.100,    3.25
    24.202,    3.20
    24.302,    3.17
    24.400,    3.15
    24.500,    3.14
    24.602,    3.14
    24.700,    3.14
    24.802,    3.15
    24.902,    3.16
    25.000,    3.16
    25.101,    3.16
    25.201,    3.14
    25.300,    3.10
    25.401,    3.07
    25.500,    3.01
    25.600,    2.94
    25.701,    2.86
    25.801,    2.75
    25.900,    2.63
    26.000,    2.50
    26.101,    2.37
    26.200,    2.23
    26.300,    2.09
    26.400,    1.95
    26.500,    1.82
    26.600,    1.70
    26.700,    1.59
    26.800,    1.48
    26.902,    1.37
    27.000,    1.26
    27.100,    1.18
    27.202,    1.13
    27.302,    1.11
    27.400,    1.10
    27.500,    1.11
    27.601,    1.20
    27.700,    1.44
    27.801,    1.93
    27.900,    2.43
