timestep,Q_sim_mm_d,Ea_sim_mm_d,Q_obs_mm_d
1,0.000000,0.343891,6.418713
2,0.033279,0.339241,5.134970
3,0.032946,0.358822,3.325104
4,0.065705,0.331224,2.567485
5,0.105931,0.328402,2.098183
6,0.157739,0.415988,2.011898
7,0.234110,0.458524,1.974017
8,0.287449,0.430872,2.357036
9,0.378297,0.337271,2.777935
10,0.455133,0.358801,2.293901
11,0.538062,0.415039,2.925250
12,0.689294,0.468838,20.518837
13,0.905470,0.481845,34.724185
14,1.116738,0.458473,12.690111
15,1.417397,0.466144,14.857742
16,1.842572,0.522825,7.449916
17,2.285457,0.529505,4.503622
18,2.812858,0.578633,3.367194
19,3.351952,0.616119,4.082722
20,3.855475,0.628448,4.840341
21,4.294848,0.542929,4.314217
22,4.654921,0.567475,3.935408
23,4.929981,0.617996,3.640778
24,5.120741,0.697529,3.388239
25,5.232106,0.784148,3.198834
26,5.271522,0.828585,3.093609
27,5.247787,0.613902,3.156744
28,5.206875,0.667959,3.135699
29,5.084323,0.680264,3.304059
30,4.981347,0.681681,3.851228
31,4.874344,0.814372,3.914363
32,4.739602,0.931331,3.872273
33,4.630151,1.016025,3.682868
34,4.528656,0.828731,3.661823
35,4.448224,0.488185,3.724958
36,4.351515,0.380185,3.682868
37,4.260940,0.417242,3.556598
38,4.179119,0.403573,3.451374
39,4.111088,0.632339,3.325104
40,4.039437,0.667701,3.156744
41,3.978904,0.668504,3.030474
42,3.916972,0.854810,2.925250
43,3.846232,0.956004,2.841070
44,3.762893,0.921884,2.777935
45,3.682378,0.991190,9.133513
46,3.655160,1.028120,13.300415
47,3.617540,1.004952,16.625519
48,3.597427,0.570677,12.142942
49,3.675039,0.509002,12.142942
50,3.834096,0.684843,15.720586
51,3.994805,0.786079,13.595045
52,4.252166,0.928280,23.149457
53,4.617259,0.939038,18.098666
54,4.863587,0.762164,6.018859
55,5.242866,0.905177,3.956453
56,5.607463,1.173231,3.009429
57,5.985977,1.472711,2.483305
58,6.332550,1.243598,2.525395
59,6.676379,0.874550,4.377352
60,6.926662,1.393927,4.124812
61,7.105339,1.545198,3.156744
62,7.260471,1.699133,2.630620
63,7.370048,1.481923,2.314946
64,7.422924,1.391245,10.248896
65,7.612052,0.928335,25.253953
66,7.608582,0.604464,9.133513
67,7.640279,1.113906,4.819296
68,7.760492,1.551489,3.493463
69,7.904950,1.780404,2.777935
70,8.032189,1.974035,2.378081
71,8.117326,2.129044,2.089765
72,8.147319,2.178344,1.877210
73,8.117373,2.193185,1.706746
74,8.028255,2.176196,1.567850
75,7.884297,1.914131,1.426848
76,7.691948,1.998732,1.304788
77,7.458723,1.994649,1.250071
78,7.198963,1.736265,1.216399
79,6.909119,1.523393,1.207981
80,6.638648,1.639916,1.271116
81,6.370322,1.199710,1.256384
82,6.080672,1.423715,1.180622
83,5.840117,1.219637,1.191145
84,5.630366,1.852126,1.201667
85,5.432314,2.162856,1.167995
86,5.241904,2.231253,1.144846
87,5.053119,2.252483,1.085920
88,4.862773,1.681190,1.045935
89,4.713484,1.525265,1.041726
90,4.535035,1.688774,1.241653
91,4.412935,1.713299,1.382654
92,4.280953,2.002121,1.262698
93,4.198599,1.607285,2.378081
94,4.203362,1.658947,10.501435
95,4.266205,1.857097,16.541339
96,4.302372,1.724895,6.566028
97,4.419484,1.437588,4.987656
98,4.637800,1.371343,4.714071
99,4.874377,1.958604,3.661823
100,5.123253,1.468488,2.798980
101,5.369676,1.840792,2.293901
102,5.586912,2.012907,2.030839
103,5.757779,2.264905,1.843539
104,5.873930,2.275399,1.692015
105,5.933134,1.537187,1.620462
106,5.950011,2.297611,1.511028
107,5.903341,2.596738,1.384758
108,5.821993,2.743309,1.279534
109,5.708075,2.034914,1.231130
110,5.580632,2.286041,1.193249
111,5.413093,2.435786,1.134323
112,5.237928,2.556714,1.094338
113,5.054381,2.596701,1.073293
114,4.863086,2.521534,1.058562
115,4.665513,2.467763,1.005949
116,4.463582,2.393628,0.940710
117,4.259385,2.393336,0.913351
118,4.055002,2.295064,0.883888
119,3.852380,2.164718,0.860739
120,3.653259,1.748020,0.839694
121,3.459136,1.440579,0.873366
122,3.286722,1.729357,0.923874
123,3.105909,1.547800,0.856530
124,2.945251,1.467843,0.835485
125,2.799793,0.947818,0.999636
126,2.699693,1.463103,1.241653
127,2.602102,1.890398,1.146950
128,2.511078,2.049027,1.056457
129,2.462567,1.566369,1.037517
130,2.449733,1.377256,1.056457
131,2.451411,2.013845,0.997531
132,2.448928,2.031620,0.932292
133,2.460860,2.015330,0.896515
134,2.475592,1.818649,0.881784
135,2.485760,1.369661,0.936501
136,2.507958,2.151007,0.925978
137,2.497965,2.159420,0.854425
138,2.492792,1.986961,0.824962
139,2.485368,1.563661,0.824962
140,2.471487,1.337527,5.008701
141,2.520800,1.890061,9.154558
142,2.524813,2.340942,3.240924
143,2.544169,2.284373,2.546440
144,2.619198,2.738671,2.230766
145,2.710770,2.584876,1.782508
146,2.813725,1.915176,1.548909
147,2.910915,1.549092,1.719373
148,3.040032,2.714701,1.578372
149,3.098347,2.803851,1.313206
150,3.170122,2.692098,1.182727
