date_ob,ob
1/2/2015,-5.449
1/3/2015,-5.485
1/4/2015,-5.988
1/5/2015,-8.47
1/6/2015,-8.94
1/7/2015,-8.48
1/8/2015,-9.24
1/9/2015,-8.36
1/10/2015,-8.79
1/11/2015,-9.3
1/12/2015,-9.79
1/13/2015,-10.4
1/14/2015,-9.96
1/15/2015,-7.991
1/16/2015,-6.317
1/17/2015,-6.87
1/18/2015,-5.639
1/19/2015,-4.87
1/20/2015,-5.149
1/21/2015,-4.471
1/22/2015,-5.009
1/23/2015,-4.496
1/24/2015,-2.137
1/25/2015,-2.337
1/26/2015,-3.755
1/27/2015,-2.969
1/28/2015,-3.468
1/29/2015,-2.521
1/30/2015,-5.046
1/31/2015,-5.927
2/1/2015,-7.169
2/2/2015,-9.41
2/3/2015,-9.04
2/4/2015,-9.14
2/5/2015,-9.99
2/6/2015,-9.21
2/7/2015,-8.4
2/8/2015,-7.504
2/9/2015,-7.485
2/10/2015,-7.374
2/11/2015,-6.734
2/12/2015,-7.154
2/13/2015,-8.08
2/14/2015,-7.336
2/15/2015,-8.39
2/16/2015,-8.51
2/17/2015,-7.949
2/18/2015,-8.28
2/19/2015,-9.17
2/20/2015,-9.94
2/21/2015,-8.57
2/22/2015,-9.13
2/23/2015,-10.33
2/24/2015,-9.84
2/25/2015,-8.14
2/26/2015,-8.86
2/27/2015,-9.6
2/28/2015,-9.33
3/1/2015,-9.07
3/2/2015,-8.5
3/3/2015,-8.18
3/4/2015,-7.684
3/5/2015,-9.12
3/6/2015,-9.37
3/7/2015,-6.838
3/8/2015,-4.676
3/9/2015,-3.619
3/10/2015,-2.786
3/11/2015,-1.341
3/12/2015,-0.632
3/13/2015,-0.611
3/14/2015,-0.504
3/15/2015,-0.094
3/16/2015,1.228
3/17/2015,0.75
3/18/2015,0.009
3/19/2015,0.08
3/20/2015,0.545
3/21/2015,0.167
3/22/2015,-0.126
3/23/2015,-0.135
3/24/2015,-0.137
3/25/2015,-0.139
3/26/2015,-0.137
3/27/2015,-0.138
3/28/2015,-0.14
3/29/2015,-0.143
3/30/2015,0.241
3/31/2015,0.886
4/1/2015,1.865
4/2/2015,2.304
4/3/2015,1.071
4/4/2015,-0.08
4/5/2015,-0.127
4/6/2015,-0.129
4/7/2015,-0.084
4/8/2015,-0.114
4/9/2015,0.965
4/10/2015,1.849
4/11/2015,2.296
4/12/2015,2.922
4/13/2015,3.54
4/14/2015,3.031
4/15/2015,3.349
4/16/2015,4.876
4/17/2015,5.45
4/18/2015,5.323
4/19/2015,4.524
4/20/2015,4.649
4/21/2015,2.587
4/22/2015,2.238
4/23/2015,2.027
4/24/2015,2.385
4/25/2015,3.766
4/26/2015,4.668
4/27/2015,5.533
4/28/2015,5.958
4/29/2015,6.059
4/30/2015,7.252
5/1/2015,7.544
5/2/2015,7.978
5/3/2015,8.56
5/4/2015,8.07
5/5/2015,7.652
5/6/2015,7.598
5/7/2015,8.06
5/8/2015,8.4
5/9/2015,5.815
5/10/2015,6.068
5/11/2015,5.853
5/12/2015,5.825
5/13/2015,6.08
5/14/2015,5.781
5/15/2015,5.823
5/16/2015,7.761
5/17/2015,8.81
5/18/2015,7.929
5/19/2015,4.882
5/20/2015,6.789
5/21/2015,9.57
5/22/2015,10.81
5/23/2015,12
5/24/2015,13.77
5/25/2015,14.74
5/26/2015,15.04
5/27/2015,15.15
5/28/2015,15.12
5/29/2015,14.23
5/30/2015,12.95
5/31/2015,11.92
6/1/2015,12.92
6/2/2015,12.63
6/3/2015,12.92
6/4/2015,12.75
6/5/2015,13.27
6/6/2015,14.07
6/7/2015,14.1
6/8/2015,15.61
6/9/2015,16.48
6/10/2015,17.1
6/11/2015,16.88
6/12/2015,17.46
6/13/2015,17.17
6/14/2015,17.1
6/15/2015,16.86
6/16/2015,16.4
6/17/2015,16.12
6/18/2015,16.37
6/19/2015,16.65
6/20/2015,15.68
6/21/2015,16.71
6/22/2015,17.55
6/23/2015,17.61
6/24/2015,17.97
6/25/2015,18.86
6/26/2015,19.21
6/27/2015,19.58
6/28/2015,19.65
6/29/2015,20.02
6/30/2015,19.84
7/1/2015,19.38
7/2/2015,19.58
7/3/2015,19.67
7/4/2015,19.89
7/5/2015,19.79
7/6/2015,19.49
7/7/2015,18.44
7/8/2015,18.02
7/9/2015,18.73
7/10/2015,18.56
7/11/2015,20.18
7/12/2015,20.82
7/13/2015,21.96
7/14/2015,22.97
7/15/2015,22.53
7/16/2015,22.28
7/17/2015,22.02
7/18/2015,21.61
7/19/2015,20.39
7/20/2015,20.1
7/21/2015,20.37
7/22/2015,20.88
7/23/2015,20.98
7/24/2015,21.57
7/25/2015,22.32
7/26/2015,23.41
7/27/2015,23.84
7/28/2015,24.11
7/29/2015,23.94
7/30/2015,21.71
7/31/2015,21.44
8/1/2015,21.07
8/2/2015,21.07
8/3/2015,21.22
8/4/2015,20.44
8/5/2015,20.24
8/6/2015,18.99
8/7/2015,19.2
8/8/2015,20.68
8/9/2015,20.69
8/10/2015,20.77
8/11/2015,21.48
8/12/2015,21.48
8/13/2015,21.32
8/14/2015,22.27
8/15/2015,22.11
8/16/2015,22.12
8/17/2015,20.83
8/18/2015,19.55
8/19/2015,19.14
8/20/2015,18.74
8/21/2015,18.42
8/22/2015,19.31
8/23/2015,19.32
8/24/2015,17.57
8/25/2015,16.87
8/26/2015,17.23
8/27/2015,17.04
8/28/2015,17.72
8/29/2015,19.51
8/30/2015,19.03
8/31/2015,19.52
9/1/2015,19.83
9/2/2015,19.09
9/3/2015,19.68
9/4/2015,20.13
9/5/2015,20.19
9/6/2015,19.33
9/7/2015,19.6
9/8/2015,18.08
9/9/2015,16.85
9/10/2015,16.08
9/11/2015,15.18
9/12/2015,15.03
9/13/2015,15.34
9/14/2015,16.23
9/15/2015,16.06
9/16/2015,15.64
9/17/2015,16.62
9/18/2015,16.1
9/19/2015,14.93
9/20/2015,14.74
9/21/2015,14.98
9/22/2015,15.39
9/23/2015,14.52
9/24/2015,13.99
9/25/2015,14.53
9/26/2015,15.89
9/27/2015,16.52
9/28/2015,16.6
9/29/2015,14.54
9/30/2015,12.81
10/1/2015,12.8
10/2/2015,12.91
10/3/2015,11.79
10/4/2015,10.99
10/5/2015,11.19
10/6/2015,11.86
10/7/2015,11.11
10/8/2015,9.42
10/9/2015,10.01
10/10/2015,9.45
10/11/2015,11.14
10/12/2015,12.26
10/13/2015,11.29
10/14/2015,9.53
10/15/2015,9.77
10/16/2015,8.92
10/17/2015,7.637
10/18/2015,6.975
10/19/2015,7.209
10/20/2015,8.54
10/21/2015,8.41
10/22/2015,8.53
10/23/2015,7.401
10/24/2015,7.72
10/25/2015,7.399
10/26/2015,6.419
10/27/2015,6.157
10/28/2015,6.027
10/29/2015,6.22
10/30/2015,6.028
10/31/2015,5.778
11/1/2015,5.95
11/2/2015,6.603
11/3/2015,7.013
11/4/2015,6.767
11/5/2015,6.489
11/6/2015,5.944
11/7/2015,4.71
11/8/2015,3.872
11/9/2015,4.524
11/10/2015,4.825
11/11/2015,5.216
11/12/2015,4.649
11/13/2015,4.109
11/14/2015,3.086
11/15/2015,3.746
11/16/2015,3.922
11/17/2015,4.704
11/18/2015,5.595
11/19/2015,3.363
11/20/2015,2.521
11/21/2015,1.762
11/22/2015,0.976
11/23/2015,0.605
11/24/2015,0.788
11/25/2015,0.986
11/26/2015,1.097
11/27/2015,0.833
11/28/2015,0.429
11/29/2015,0.241
11/30/2015,0.017
12/1/2015,-0.166
12/2/2015,-0.29
12/3/2015,-0.427
12/4/2015,-0.44
12/5/2015,-0.237
12/6/2015,-0.185
12/7/2015,-0.169
12/8/2015,-0.134
12/9/2015,-0.162
12/10/2015,-0.186
12/11/2015,-0.113
12/12/2015,-0.051
12/13/2015,0.027
12/14/2015,0.091
12/15/2015,0.148
12/16/2015,0.167
12/17/2015,0.135
12/18/2015,0.115
12/19/2015,0.011
12/20/2015,-0.18
12/21/2015,-0.304
12/22/2015,-0.322
12/23/2015,-0.384
12/24/2015,-0.343
12/25/2015,-0.354
12/26/2015,-0.51
12/27/2015,-0.709
12/28/2015,-0.957
12/29/2015,-1.066
12/30/2015,-1.261
12/31/2015,-1.163
1/1/2016,-1.245
1/2/2016,-1.245
1/3/2016,-1.258
1/4/2016,-1.338
1/5/2016,-1.58
1/6/2016,-1.56
1/7/2016,-1.787
1/8/2016,-1.779
1/9/2016,-1.962
1/10/2016,-2.602
1/11/2016,-3.425
1/12/2016,-3.802
1/13/2016,-4.092
1/14/2016,-3.918
1/15/2016,-3.558
1/16/2016,-3.662
1/17/2016,-4.314
1/18/2016,-4.809
1/19/2016,-4.799
1/20/2016,-4.963
1/21/2016,-4.384
1/22/2016,-3.916
1/23/2016,-4.23
1/24/2016,-3.543
1/25/2016,-3.098
1/26/2016,-2.855
1/27/2016,-2.607
1/28/2016,-2.344
1/29/2016,-2.45
1/30/2016,-2.45
1/31/2016,-1.257
2/1/2016,-1.597
2/2/2016,-2.187
2/3/2016,-2.752
2/4/2016,-3.487
2/5/2016,-3.368
2/6/2016,-3.094
2/7/2016,-2.847
2/8/2016,-2.523
2/9/2016,-3.54
2/10/2016,-4.181
2/11/2016,-4.769
2/12/2016,-5.477
2/13/2016,-6.428
2/14/2016,-7.615
2/15/2016,-6.308
2/16/2016,-4.918
2/17/2016,-4.665
2/18/2016,-4.948
2/19/2016,-3.535
2/20/2016,-2.54
2/21/2016,-2.282
2/22/2016,-4.064
2/23/2016,-3.499
2/24/2016,-2.524
2/25/2016,-2.8
2/26/2016,-2.906
2/27/2016,-2.664
2/28/2016,-1.445
2/29/2016,-2.938
3/1/2016,-4.859
3/2/2016,-6.057
3/3/2016,-5.238
3/4/2016,-5.655
3/5/2016,-4.61
3/6/2016,-4.216
3/7/2016,-2.709
3/8/2016,-2.269
3/9/2016,-1.142
3/10/2016,-1.357
3/11/2016,-1.106
3/12/2016,-0.637
3/13/2016,-0.35
3/14/2016,-0.198
3/15/2016,0.45
3/16/2016,1.052
3/17/2016,0.542
3/18/2016,0.008
3/19/2016,-0.126
3/20/2016,-0.121
3/21/2016,0.228
3/22/2016,-0.001
3/23/2016,-0.105
3/24/2016,-0.124
3/25/2016,0.248
3/26/2016,0.172
3/27/2016,-0.12
3/28/2016,0.601
3/29/2016,1.079
3/30/2016,1.689
3/31/2016,2.17
4/1/2016,1.617
4/2/2016,0.262
4/3/2016,-0.104
4/4/2016,-0.12
4/5/2016,-0.125
4/6/2016,-0.124
4/7/2016,-0.12
4/8/2016,-0.114
4/9/2016,-0.113
4/10/2016,-0.116
4/11/2016,-0.118
4/12/2016,-0.12
4/13/2016,-0.128
4/14/2016,-0.132
4/15/2016,1.905
4/16/2016,3.672
4/17/2016,2.135
4/18/2016,1.8
4/19/2016,2.825
4/20/2016,4.759
4/21/2016,7.906
4/22/2016,7.034
4/23/2016,4.075
4/24/2016,3.347
4/25/2016,3.834
4/26/2016,3.9
4/27/2016,4.27
4/28/2016,5.472
4/29/2016,5.728
4/30/2016,6.25
5/1/2016,7.038
5/2/2016,7.763
5/3/2016,9.45
5/4/2016,9.63
5/5/2016,9.27
5/6/2016,11.11
5/7/2016,11.15
5/8/2016,10.28
5/9/2016,10.59
5/10/2016,10.81
5/11/2016,10.34
5/12/2016,10.23
5/13/2016,9.28
5/14/2016,7.56
5/15/2016,7.363
5/16/2016,8.18
5/17/2016,9.25
5/18/2016,10.44
5/19/2016,11.03
5/20/2016,11.52
5/21/2016,12.02
5/22/2016,12.26
5/23/2016,12.51
5/24/2016,14.87
5/25/2016,14.88
5/26/2016,14.28
5/27/2016,13.95
5/28/2016,14.53
5/29/2016,14.77
5/30/2016,16.04
5/31/2016,17.22
6/1/2016,16.26
6/2/2016,14.55
6/3/2016,15.53
6/4/2016,16.34
6/5/2016,16.93
6/6/2016,17.84
6/7/2016,17.22
6/8/2016,17.19
6/9/2016,17.2
6/10/2016,18.02
6/11/2016,20.3
6/12/2016,19.36
6/13/2016,17.46
6/14/2016,18.85
6/15/2016,19.99
6/16/2016,20.5
6/17/2016,19.91
6/18/2016,20.64
6/19/2016,20.18
6/20/2016,21
6/21/2016,19.76
6/22/2016,19.7
6/23/2016,18.83
6/24/2016,19.39
6/25/2016,19.99
6/26/2016,20.9
6/27/2016,18.31
6/28/2016,18.88
6/29/2016,20.36
6/30/2016,21.05
7/1/2016,19.33
7/2/2016,19.03
7/3/2016,20.01
7/4/2016,20.02
7/5/2016,21.16
