date,precip_mm,temp_mean_c,temp_max_c,temp_min_c,srad_wm2,wind_ms,shum_kgkg,pres_pa
1979-01-01,0.0097,4.77,7.26,1.67,80.25,2.2575,0.004064,102653.4
1979-01-02,0.0076,5.27,8.80,1.82,28.88,2.1275,0.004395,102211.4
1979-01-03,0.0000,5.98,12.35,0.70,117.75,4.4213,0.004354,101704.6
1979-01-04,0.0000,6.79,13.60,0.88,124.50,5.2138,0.004985,101650.6
1979-01-05,0.0000,4.72,10.32,0.90,97.12,1.7800,0.004352,101841.2
1979-01-06,0.0000,7.77,14.08,3.33,123.75,5.9387,0.004815,101678.2
1979-01-07,0.0000,12.33,17.52,6.36,127.25,7.3725,0.004761,101237.8
1979-01-08,0.0000,12.30,19.81,6.62,136.38,4.7900,0.004206,101123.4
1979-01-09,0.0000,4.56,10.65,0.16,125.75,2.5700,0.004215,101380.0
1979-01-10,0.0756,1.62,3.70,-1.78,74.75,4.2350,0.003950,102091.2
1979-01-11,14.9008,-3.13,-1.29,-5.10,33.38,4.6425,0.002544,102475.0
1979-01-12,0.0778,-7.43,-2.85,-11.76,94.88,1.3863,0.001760,102696.1
1979-01-13,0.0875,-6.65,-4.52,-10.96,33.88,2.4138,0.002009,102759.0
1979-01-14,0.0032,-6.72,-3.41,-9.36,59.75,2.9488,0.001686,103181.6
1979-01-15,0.0000,-3.15,0.35,-6.82,136.25,2.2887,0.001816,102983.5
1979-01-16,0.0000,-0.64,1.83,-5.33,115.00,1.7788,0.002505,102083.0
1979-01-17,0.0000,0.40,3.01,-2.17,78.75,3.0413,0.003196,102255.5
1979-01-18,0.0000,-0.61,3.43,-2.96,131.75,2.6975,0.002471,102948.5
1979-01-19,0.0000,1.77,5.71,-1.44,130.50,2.1300,0.002945,102350.0
1979-01-20,0.0000,4.05,8.62,0.13,129.75,3.3950,0.003279,102539.5
1979-01-21,0.0000,2.17,5.96,-1.81,90.38,3.1250,0.003262,102806.1
1979-01-22,0.0000,4.23,10.46,-2.37,129.62,2.1925,0.003355,102392.4
1979-01-23,0.0000,6.35,11.40,1.78,129.62,1.8713,0.003797,102454.2
1979-01-24,0.0076,6.05,8.56,4.24,39.12,2.1312,0.004311,102255.6
1979-01-25,0.0000,8.91,14.79,3.77,141.38,6.0913,0.004723,101706.6
1979-01-26,0.0000,11.17,18.86,4.74,147.12,2.9900,0.004731,100921.1
1979-01-27,12.3152,6.18,11.16,3.63,48.38,3.4413,0.004692,101089.1
1979-01-28,27.3154,-2.05,0.60,-4.38,29.25,7.5463,0.003048,101717.6
1979-01-29,0.0227,-3.01,-1.39,-4.85,55.00,4.5100,0.002350,102359.4
1979-01-30,1.1005,-5.18,-2.68,-8.03,40.38,3.9600,0.002011,102979.4
1979-01-31,0.0000,-2.96,0.37,-7.65,104.12,2.1575,0.002619,102609.5
1979-02-01,0.0000,-0.12,3.00,-3.59,150.12,3.0550,0.003082,102439.1
1979-02-02,0.0000,3.98,8.26,-1.71,151.88,2.2387,0.003603,101820.2
1979-02-03,0.0119,3.72,6.95,2.15,117.62,3.2712,0.004148,102294.4
1979-02-04,0.1760,3.62,5.06,2.09,41.00,3.8187,0.004345,102458.1
1979-02-05,0.0000,4.96,10.11,2.12,128.50,4.6887,0.004169,102425.1
1979-02-06,0.0000,7.95,14.20,0.96,162.00,2.6625,0.004006,101995.8
1979-02-07,0.0000,8.22,15.32,1.71,161.88,3.4300,0.004925,101897.9
1979-02-08,0.0194,3.06,4.33,1.88,39.75,3.1625,0.004393,102223.8
1979-02-09,0.1706,4.79,6.30,3.28,40.62,2.3800,0.004966,101667.2
1979-02-10,0.0000,8.88,14.70,3.42,159.88,2.0312,0.005351,101619.6
1979-02-11,0.0659,8.95,15.47,2.98,157.38,2.2025,0.005548,101564.2
1979-02-12,0.0194,9.92,16.02,2.86,141.00,2.0475,0.006043,101282.6
1979-02-13,0.0032,9.94,16.90,3.84,165.88,4.4087,0.005613,101607.5
1979-02-14,0.8543,2.47,4.76,-0.16,44.12,3.2962,0.003369,102267.8
1979-02-15,0.0000,6.13,10.86,0.19,130.00,4.5062,0.003845,101695.6
1979-02-16,0.0000,7.91,14.91,0.79,175.50,5.2463,0.002504,101330.8
1979-02-17,0.0000,5.63,11.31,1.10,187.25,3.1038,0.002226,101781.6
1979-02-18,0.0000,11.16,18.13,1.22,187.38,2.4900,0.003825,101126.4
1979-02-19,0.0000,12.08,17.60,7.39,151.50,2.6413,0.006861,100530.1
1979-02-20,0.0281,13.92,20.03,6.60,177.38,3.4450,0.007798,99893.8
1979-02-21,10.4501,9.94,14.99,0.78,45.50,5.9200,0.007439,100046.8
1979-02-22,15.5002,-0.64,0.66,-1.33,42.62,6.2825,0.003329,100904.2
1979-02-23,0.4817,1.53,3.94,-1.34,149.12,3.0050,0.003666,101305.8
1979-02-24,1.5552,2.76,4.25,0.78,48.50,2.1112,0.004068,101546.4
