## Site Characteristics
Country = 'China'
Station = 'Wangjiaba'
Description = 'CMFD daily forcing'
Source = 'CMFD'
Contact = 'HydroCraft'
Longitude = 115.6
Latitude = 32.43
Elevation = 30.0
AngstromA = 0.18
AngstromB = 0.55
HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
19790101,7565.2,0.7,8.7,0.664,2.1,0.0010,0
19790102,2714.7,1.3,9.3,0.717,2.2,0.0011,0
19790103,10133.4,2.0,10.0,0.704,4.3,0.0000,0
19790104,10766.7,2.9,10.9,0.812,5.0,0.0000,0
19790105,9309.6,0.7,8.7,0.703,1.8,0.0000,0
19790106,10646.6,3.7,11.7,0.773,5.7,0.0000,0
19790107,11035.9,8.2,16.2,0.764,7.1,0.0000,0
19790108,11746.1,8.2,16.2,0.676,4.7,0.0000,0
19790109,10871.3,0.4,8.4,0.673,2.6,0.0000,0
19790110,5821.2,-2.6,5.4,0.637,4.2,0.0096,0
19790111,2899.6,-7.2,0.8,0.416,4.5,1.4741,0
19790112,8730.7,-11.5,-3.5,0.288,1.3,0.0037,0
19790113,2953.2,-10.8,-2.8,0.326,2.2,0.0094,0
19790114,5333.0,-10.6,-2.6,0.278,2.8,0.0003,0
19790115,11620.8,-7.1,0.9,0.294,2.3,0.0000,0
19790116,9986.5,-4.6,3.4,0.401,1.9,0.0000,0
19790117,6984.1,-3.6,4.4,0.523,3.0,0.0000,0
19790118,11483.4,-4.6,3.4,0.403,2.7,0.0000,0
19790119,11331.8,-2.3,5.7,0.477,2.2,0.0000,0
19790120,11315.8,0.1,8.1,0.536,3.3,0.0000,0
19790121,7642.9,-1.9,6.1,0.535,2.9,0.0000,0
19790122,11369.4,0.1,8.1,0.542,2.3,0.0000,0
19790123,11375.0,2.2,10.2,0.612,1.8,0.0000,0
19790124,3450.8,2.1,10.1,0.688,2.0,0.0002,0
19790125,12201.0,4.8,12.8,0.767,5.9,0.0000,0
19790126,12684.0,7.0,15.0,0.767,3.0,0.0000,0
19790127,3657.7,1.9,9.9,0.755,3.5,1.3119,0
19790128,2553.1,-6.2,1.8,0.492,7.4,2.8179,0
19790129,5116.2,-7.1,0.9,0.385,4.5,0.0023,0
19790130,3479.3,-9.3,-1.3,0.330,4.0,0.0767,0
19790131,9077.2,-7.2,0.8,0.426,2.2,0.0000,0
19790201,12961.3,-4.3,3.7,0.503,2.9,0.0000,0
19790202,13071.0,-0.2,7.8,0.589,2.4,0.0000,0
19790203,9980.9,-0.5,7.5,0.675,3.2,0.0012,0
19790204,3434.0,-0.5,7.5,0.708,3.4,0.0165,0
19790205,11354.3,1.0,9.0,0.678,4.6,0.0000,0
19790206,14054.3,4.0,12.0,0.657,2.7,0.0000,0
19790207,13991.2,4.1,12.1,0.797,3.4,0.0000,0
19790208,3425.8,-1.1,6.9,0.713,3.0,0.0036,0
19790209,3438.3,0.8,8.8,0.809,2.3,0.0086,0
19790210,14119.9,5.1,13.1,0.857,2.0,0.0000,0
19790211,13497.0,5.0,13.0,0.902,2.1,0.0099,0
19790212,12076.1,5.9,13.9,0.976,2.1,0.0024,0
19790213,14416.3,5.8,13.8,0.899,4.3,0.0010,0
19790214,3983.9,-1.7,6.3,0.538,3.3,0.0878,0
19790215,11391.4,2.0,10.0,0.629,4.5,0.0000,0
19790216,15308.8,3.9,11.9,0.395,5.3,0.0000,0
19790217,16101.1,1.5,9.5,0.362,3.0,0.0000,0
19790218,16192.7,7.3,15.3,0.599,2.6,0.0000,0
19790219,13512.5,8.2,16.2,1.097,2.7,0.0003,0
19790220,15258.2,10.0,18.0,1.243,3.3,0.0020,0
19790221,3895.3,5.6,13.6,1.163,6.0,1.1778,0
19790222,3736.8,-4.7,3.3,0.536,6.2,1.7474,0
19790223,12989.0,-2.5,5.5,0.596,2.9,0.0329,0
19790224,4168.4,-1.2,6.8,0.664,2.0,0.1545,0
19790225,14118.6,2.4,10.4,0.721,3.6,0.0000,0
19790226,16699.4,3.6,11.6,0.613,3.5,0.0000,0
19790227,17540.5,1.9,9.9,0.521,3.7,0.0000,0
19790228,18154.8,-1.7,6.3,0.384,2.4,0.0000,0
19790301,17314.1,0.3,8.3,0.374,2.6,0.0000,0
19790302,5712.3,0.8,8.8,0.534,2.5,0.0000,0
19790303,18861.6,2.7,10.7,0.515,1.9,0.0000,0
19790304,16980.6,4.6,12.6,0.701,2.7,0.0024,0
19790305,18315.5,7.4,15.4,0.693,1.7,0.0000,0
19790306,8857.7,6.6,14.6,0.718,3.5,0.0001,0
19790307,10861.8,6.6,14.6,0.793,2.6,0.0059,0
19790308,4849.2,5.6,13.6,1.092,3.5,0.3517,0
19790309,4373.1,4.9,12.9,1.097,2.7,0.4901,0
19790310,4295.8,-0.3,7.7,0.757,5.4,0.7401,0
19790311,5238.0,-3.5,4.5,0.511,2.6,0.0067,0
19790312,11343.9,-1.5,6.5,0.589,1.3,0.0064,0
19790313,6238.5,1.2,9.2,0.686,1.9,0.0008,0
19790314,19342.8,4.4,12.4,0.749,2.2,0.0000,0
19790315,11791.4,5.6,13.6,0.793,1.6,0.0007,0
19790316,15161.5,5.9,13.9,0.875,1.3,0.0013,0
19790317,16637.6,5.6,13.6,0.794,2.5,0.0058,0
19790318,18642.5,7.6,15.6,0.844,3.1,0.0004,0
19790319,16663.5,8.3,16.3,0.894,2.5,0.0001,0
19790320,20030.5,7.3,15.3,0.812,4.5,0.0000,0
19790321,20854.8,9.5,17.5,0.940,3.5,0.0000,0
19790322,19104.3,4.3,12.3,0.810,5.4,0.0733,0
19790323,16897.3,2.2,10.2,0.593,4.0,0.0162,0
19790324,22502.0,6.4,14.4,0.591,2.9,0.0000,0
19790325,16749.9,8.0,16.0,0.854,3.9,0.0004,0
19790326,21607.8,9.8,17.8,0.773,3.1,0.0000,0
19790327,22141.3,12.1,20.1,0.996,3.3,0.0000,0
19790328,21799.6,16.7,24.7,1.410,1.8,0.1575,0
19790329,4870.4,9.2,17.2,1.398,6.2,0.5685,0
19790330,9129.9,4.6,12.6,0.930,4.2,0.8420,0
