## Site Characteristics
Country = "China"; Station = "Wangjiaba_CMFD"; Description = "CMFD"
Source = "CMFD_3hr"; Contact = "hydrocraft"
Longitude = 115.6; Latitude = 32.43; Elevation = 28
AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
1980-01-01,2538.0,-1.2,-0.7,0.539,2.9,5.15,0
1980-01-02,1987.2,-1.2,0.4,0.586,1.2,0.43,0
1980-01-03,2008.8,0.2,1.4,0.618,1.7,0.43,0
1980-01-04,6253.2,-1.5,2.3,0.554,2.3,0.00,0
1980-01-05,10951.2,-0.9,5.7,0.568,2.5,0.00,0
1980-01-06,10864.8,-1.7,6.6,0.442,3.7,0.00,0
1980-01-07,11556.0,-1.3,7.1,0.495,2.5,0.00,0
1980-01-08,4957.2,1.8,7.5,0.660,4.4,0.00,0
1980-01-09,10864.8,1.1,9.7,0.722,3.3,0.00,0
1980-01-10,2646.0,-1.5,1.8,0.559,4.7,1.28,0
1980-01-11,3769.2,-1.4,0.6,0.585,2.7,0.36,0
1980-01-12,2970.0,-1.6,3.4,0.584,2.0,0.31,0
1980-01-13,11329.2,-1.9,6.5,0.558,2.5,0.00,0
1980-01-14,12160.8,0.1,8.6,0.490,3.5,0.00,0
1980-01-15,11815.2,0.1,11.2,0.579,3.0,0.00,0
1980-01-16,10648.8,-0.4,12.2,0.598,2.2,0.00,0
1980-01-17,9180.0,-1.3,5.4,0.545,6.0,0.00,0
1980-01-18,5702.4,-1.4,2.3,0.593,3.8,1.38,0
1980-01-19,6026.4,-1.2,4.8,0.584,1.4,0.01,0
1980-01-20,11491.2,-1.8,9.6,0.567,2.8,0.00,0
1980-01-21,12646.8,-1.4,10.4,0.513,1.5,0.00,0
1980-01-22,12409.2,-0.5,10.9,0.557,2.7,0.00,0
1980-01-23,8866.8,0.9,13.1,0.639,1.8,0.00,0
1980-01-24,5086.8,3.3,9.2,0.698,1.4,0.02,0
1980-01-25,2894.4,4.9,9.7,0.901,3.1,0.01,0
1980-01-26,10972.8,5.5,14.1,0.940,2.4,0.00,0
1980-01-27,3056.4,4.7,8.1,0.913,6.7,8.96,0
1980-01-28,3121.2,-1.9,6.1,0.627,5.6,7.57,0
1980-01-29,5842.8,-7.8,-1.4,0.355,5.5,0.83,0
1980-01-30,11815.2,-9.3,-6.4,0.198,3.2,0.00,0
1980-01-31,13381.2,-8.0,-1.4,0.281,3.4,0.00,0
1980-02-01,12225.6,-4.4,0.0,0.342,2.4,0.00,0
1980-02-02,11998.8,-4.1,1.5,0.389,1.9,0.00,0
1980-02-03,10476.0,-3.5,3.4,0.399,2.8,0.00,0
1980-02-04,11761.2,-5.1,0.4,0.268,4.5,0.01,0
1980-02-05,14320.8,-5.5,2.0,0.272,3.1,0.00,0
1980-02-06,7711.2,-4.7,-0.9,0.271,2.8,0.00,0
1980-02-07,14882.4,-5.3,1.1,0.297,2.9,0.00,0
